#{"t_start": 1746566951.9997282, "env_id": "MiniGrid-DoorKey-8x8-v0"}
r,l,t
0,640,20.668493
0,640,42.584721
0,640,72.445633
0,640,97.954525
0,640,138.230389
0.434687,402,156.074985
0.337656,471,163.341448
0.886094,81,177.854188
0,640,201.011405
0.26875,520,219.33031
0.222344,553,241.031436
0.922656,55,241.734352
0.947969,37,242.141085
0.185781,579,262.402061
0.828437,122,276.193726
0.94375,40,276.720206
0.949375,36,277.163884
0.436094,401,282.750517
0.926875,52,296.629819
0.817187,130,298.677911
0.938125,44,299.221076
0.91,64,300.022508
0.791875,148,302.007796
0.893125,76,302.968456
0.897344,73,318.569662
0.940937,42,319.067992
0.929688,50,319.525996
0.957812,30,319.796292
0.947969,37,320.147284
0.9325,48,320.606093
0.953594,33,320.926183
0.947969,37,321.261548
0.890313,78,322.012028
0.85375,104,323.08202
0.96625,24,337.785115
0.901563,70,338.886912
0.969063,22,339.222659
0.969063,22,339.503034
0.947969,37,340.02101
0.940937,42,340.556123
0.931094,49,341.294463
0.974688,18,341.551348
0.962031,27,342.026649
0.935312,46,342.650921
0.978906,15,342.820339
0.959219,29,343.202866
0.938125,44,343.786764
0.955,32,344.146184
0.962031,27,344.495229
0.933906,47,358.440573
0.970469,21,358.695787
0.897344,73,359.422973
0.945156,39,359.784786
0.963437,26,360.117583
0.96625,24,360.412043
0.905781,67,361.171427
0.970469,21,361.384151
0.960625,28,361.721124
0.96625,24,362.014848
0.845313,110,363.26762
0.884687,82,377.021366
0.963437,26,377.297871
0.967656,23,377.571435
0.935312,46,378.133741
0.959219,29,378.451248
0.973281,19,378.690142
0.967656,23,378.917673
0.938125,44,379.441113
0.949375,36,379.862811
0.984531,11,379.968657
0.945156,39,380.386061
0.894531,75,381.228658
0.94375,40,381.658198
0.946562,38,382.140146
0.955,32,396.372773
0.962031,27,396.602913
0.974688,18,396.746783
0.940937,42,397.167577
0.936719,45,397.570568
0.949375,36,398.097402
0.946562,38,398.542924
0.964844,25,398.856426
0.946562,38,399.289242
0.82,128,400.882902
0.940937,42,401.26993
0.949375,36,401.616161
0.933906,47,418.897221
0.946562,38,419.454041
0.935312,46,420.12745
0.973281,19,420.416003
0.956406,31,420.847541
0.971875,20,421.136085
0.928281,51,421.793225
0.947969,37,422.32764
0.843906,111,424.179814
0.9325,48,424.81283
0.973281,19,425.04775
0.971875,20,425.390915
0.950781,35,425.873819
0.952187,34,441.436486
0.967656,23,441.651894
0.963437,26,441.93989
0.956406,31,442.259531
0.931094,49,442.732149
0.970469,21,442.954946
0.96625,24,443.186935
0.963437,26,443.465801
0.976094,17,443.645591
0.955,32,443.973206
0.929688,50,444.507499
0.895938,74,445.300081
0.940937,42,445.793405
0.950781,35,446.217655
0.891719,77,461.611813
0.960625,28,461.86632
0.969063,22,462.082262
0.955,32,462.395113
0.952187,34,462.746875
0.969063,22,462.938965
0.950781,35,463.238571
0.935312,46,463.622171
0.938125,44,463.991477
0.950781,35,464.308017
0.957812,30,464.559725
0.939531,43,464.95328
0.976094,17,465.10439
0.960625,28,465.347143
0.946562,38,465.683598
0.911406,63,480.113077
0.970469,21,480.333989
0.952187,34,480.68108
0.952187,34,481.044418
0.962031,27,481.297077
0.959219,29,481.593891
0.955,32,481.955678
0.962031,27,482.263959
0.96625,24,482.540528
0.969063,22,482.846439
0.970469,21,483.112021
0.970469,21,483.347371
0.945156,39,483.785301
0.964844,25,484.061435
0.919844,57,484.689169
0.92125,56,485.31693
0.970469,21,500.235502
0.933906,47,500.766849
0.953594,33,501.212358
0.970469,21,501.441415
0.971875,20,501.682436
0.957812,30,502.048831
0.936719,45,502.711749
0.967656,23,502.934475
0.974688,18,503.149049
0.976094,17,503.328241
0.924063,54,503.982475
0.964844,25,504.32554
0.960625,28,504.610553
0.955,32,504.921666
0.962031,27,505.210571
0.955,32,505.559213
0.953594,33,505.964799
0.967656,23,518.491099
0.953594,33,518.785025
0.96625,24,519.006359
0.971875,20,519.193926
0.955,32,519.519849
0.960625,28,519.832979
0.974688,18,519.996953
0.949375,36,520.295682
0.942344,41,520.634743
0.96625,24,520.836805
0.957812,30,521.080683
0.960625,28,521.303581
0.976094,17,521.440502
0.94375,40,521.776422
0.964844,25,521.987419
0.962031,27,522.214247
0.967656,23,522.413747
0.956406,31,522.661273
0.973281,19,522.816078
0.973281,19,536.106219
0.973281,19,536.305779
0.957812,30,536.601784
0.933906,47,537.164576
0.959219,29,537.482674
0.970469,21,537.716508
0.9775,16,537.885045
0.964844,25,538.171949
0.959219,29,538.54522
0.962031,27,538.875326
0.974688,18,539.085204
0.971875,20,539.349004
0.938125,44,539.835858
0.973281,19,540.044956
0.956406,31,540.39776
0.960625,28,540.694328
0.960625,28,540.988681
0.957812,30,541.312821
0.96625,24,541.52067
0.957812,30,555.269693
0.971875,20,555.490479
0.980313,14,555.61063
0.971875,20,555.828564
0.969063,22,556.054757
0.964844,25,556.361048
0.976094,17,556.554569
0.942344,41,556.985518
0.952187,34,557.36272
0.970469,21,557.594006
0.980313,14,557.753711
0.9775,16,557.900683
0.978906,15,558.024155
0.976094,17,558.167764
0.978906,15,558.293794
0.974688,18,558.476521
0.969063,22,558.692407
0.967656,23,558.919264
0.973281,19,559.096388
0.967656,23,559.316604
0.9775,16,559.491756
0.929688,50,560.046989
0.956406,31,560.347526
0.960625,28,578.501765
0.96625,24,578.842251
0.962031,27,579.165087
0.960625,28,579.586446
0.974688,18,579.804928
0.956406,31,580.171664
0.964844,25,580.56515
0.971875,20,580.932655
0.978906,15,581.155581
0.980313,14,581.344827
0.946562,38,581.831065
0.962031,27,582.454817
0.971875,20,582.658809
0.955,32,583.116311
0.956406,31,583.555341
0.978906,15,583.771751
0.867812,94,584.985584
0.969063,22,585.266894
0.967656,23,601.489561
0.959219,29,602.078821
0.9775,16,602.271764
0.964844,25,602.620754
0.980313,14,602.785068
0.976094,17,602.954292
0.9775,16,603.130412
0.952187,34,603.458847
0.964844,25,603.699329
0.973281,19,603.918655
0.976094,17,604.126861
0.928281,51,604.711621
0.94375,40,605.270861
0.960625,28,605.554905
0.980313,14,605.681845
0.964844,25,605.956781
0.956406,31,606.326567
0.946562,38,606.797779
0.939531,43,607.291102
0.964844,25,622.261061
0.980313,14,622.426904
0.983125,12,622.612326
0.973281,19,622.857074
0.952187,34,623.311358
0.957812,30,623.767883
0.970469,21,624.1408
0.955,32,624.527934
0.964844,25,624.889231
0.936719,45,625.634139
0.967656,23,625.917597
0.978906,15,626.118223
0.981719,13,626.288835
0.969063,22,626.592046
0.976094,17,626.801704
0.955,32,627.26009
0.971875,20,627.49092
0.960625,28,627.884775
0.9775,16,628.118019
0.978906,15,628.323875
0.973281,19,628.599119
0.947969,37,629.177921
0.964844,25,644.296934
0.964844,25,644.590883
0.984531,11,644.714984
0.962031,27,645.079048
0.969063,22,645.350795
0.963437,26,645.647716
0.971875,20,645.842559
0.980313,14,646.010302
0.970469,21,646.258704
0.9775,16,646.43341
0.971875,20,646.649865
0.981719,13,646.787468
0.969063,22,646.999266
0.974688,18,647.235503
0.970469,21,647.441519
0.971875,20,647.633895
0.964844,25,647.915896
0.963437,26,648.233361
0.969063,22,648.487379
0.969063,22,648.733424
0.974688,18,648.951746
0.973281,19,649.178609
0.925469,53,649.873046
0.976094,17,650.118683
0.978906,15,666.40976
0.962031,27,666.676354
0.908594,65,667.3624
0.980313,14,667.538405
0.976094,17,667.721784
0.983125,12,667.853063
0.957812,30,668.166094
0.971875,20,668.361707
0.973281,19,668.565316
0.950781,35,668.924365
0.973281,19,669.12932
0.978906,15,669.264006
0.980313,14,669.406846
0.959219,29,669.711871
0.978906,15,669.888577
0.970469,21,670.102815
0.970469,21,670.349762
0.973281,19,670.544596
0.959219,29,670.825506
0.974688,18,671.003273
0.978906,15,671.149801
0.970469,21,671.35529
0.984531,11,671.509569
0.96625,24,684.300947
0.956406,31,684.563466
0.973281,19,684.710988
0.971875,20,684.883701
0.967656,23,685.07614
0.964844,25,685.286188
0.956406,31,685.56354
0.967656,23,685.747387
0.978906,15,685.861313
0.959219,29,686.097464
0.970469,21,686.26492
0.957812,30,686.51431
0.9775,16,686.639725
0.949375,36,686.926307
0.971875,20,687.084775
0.981719,13,687.195215
0.949375,36,687.4755
0.959219,29,687.705112
0.971875,20,687.862058
0.96625,24,688.059692
0.964844,25,688.278477
0.974688,18,688.422135
0.974688,18,701.728294
0.973281,19,701.955423
0.971875,20,702.183956
0.970469,21,702.511224
0.962031,27,702.925499
0.9775,16,703.118393
0.969063,22,703.4054
0.970469,21,703.629825
0.976094,17,703.815496
0.9775,16,704.050175
0.970469,21,704.294894
0.976094,17,704.467685
0.957812,30,704.80094
0.964844,25,705.12329
0.962031,27,705.444749
0.9775,16,705.664796
0.949375,36,706.063707
0.969063,22,706.287887
0.974688,18,706.553624
0.962031,27,707.008376
0.981719,13,707.226485
0.974688,18,707.51328
0.974688,18,707.793029
0.970469,21,708.056202
0.959219,29,724.054526
0.978906,15,724.26515
0.963437,26,724.651052
0.973281,19,724.845974
0.973281,19,725.10012
0.967656,23,725.342611
0.960625,28,725.707632
0.970469,21,726.049395
0.978906,15,726.258907
0.984531,11,726.424393
0.969063,22,726.749764
0.96625,24,727.040547
0.976094,17,727.246336
0.969063,22,727.470996
0.976094,17,727.670318
0.967656,23,727.966477
0.969063,22,728.237972
0.973281,19,728.561547
0.973281,19,728.869363
0.980313,14,729.030453
0.976094,17,729.267301
0.960625,28,729.665859
0.976094,17,729.864697
0.959219,29,730.318655
0.974688,18,730.550145
0.980313,14,745.818632
0.963437,26,746.195653
0.9775,16,746.371089
0.967656,23,746.702719
0.970469,21,747.024094
0.9775,16,747.31176
0.96625,24,747.630698
0.969063,22,747.953463
0.967656,23,748.196515
0.978906,15,748.473031
0.973281,19,748.721478
0.953594,33,749.209931
0.963437,26,749.501099
0.970469,21,749.759085
0.974688,18,750.055905
0.962031,27,750.408123
0.976094,17,750.663162
0.970469,21,750.927002
0.964844,25,751.290586
0.967656,23,751.582283
0.967656,23,751.809339
0.970469,21,752.068964
0.957812,30,752.547035
0.967656,23,766.130979
0.981719,13,766.276675
0.969063,22,766.496979
0.973281,19,766.685714
0.963437,26,766.97356
0.973281,19,767.214021
0.964844,25,767.463925
0.976094,17,767.694586
0.974688,18,767.914856
0.960625,28,768.208368
0.980313,14,768.352943
0.964844,25,768.621885
0.974688,18,768.837551
0.980313,14,768.977564
0.974688,18,769.161287
0.978906,15,769.326096
0.976094,17,769.477274
0.9775,16,769.647066
0.963437,26,769.88107
0.973281,19,770.045811
0.964844,25,770.301721
0.967656,23,770.527946
0.969063,22,770.750344
0.96625,24,770.984313
0.950781,35,771.354364
0.969063,22,786.249187
0.969063,22,786.431086
0.973281,19,786.591581
0.980313,14,786.71329
0.978906,15,786.872188
0.959219,29,787.193583
0.980313,14,787.323829
0.970469,21,787.512777
0.971875,20,787.71395
0.9775,16,787.858646
0.963437,26,788.09826
0.974688,18,788.262709
0.974688,18,788.451044
0.969063,22,788.627799
0.983125,12,788.743442
0.967656,23,788.998975
0.980313,14,789.129118
0.967656,23,789.355692
0.974688,18,789.558451
0.967656,23,789.773668
0.973281,19,789.971866
0.970469,21,790.150429
0.976094,17,790.288382
0.9775,16,790.437586
0.974688,18,790.60613
0.971875,20,790.780291
0.983125,12,790.894598
0.973281,19,804.417324
0.980313,14,804.534256
0.974688,18,804.75371
0.981719,13,804.883692
0.971875,20,805.129012
0.974688,18,805.347923
0.976094,17,805.580063
0.959219,29,805.912771
0.971875,20,806.125183
0.9775,16,806.299256
0.978906,15,806.409938
0.971875,20,806.587645
0.985938,10,806.679235
0.974688,18,806.81726
0.978906,15,806.952728
0.971875,20,807.178645
0.974688,18,807.319787
0.964844,25,807.628635
0.983125,12,807.755262
0.963437,26,808.030511
0.970469,21,808.27233
0.967656,23,808.498418
0.980313,14,808.669317
0.976094,17,808.904333
0.976094,17,809.123927
0.963437,26,809.39418
0.980313,14,809.608987
0.978906,15,809.773508
0.962031,27,825.202727
0.971875,20,825.395861
0.978906,15,825.52926
0.96625,24,825.72826
0.960625,28,826.090451
0.980313,14,826.265909
0.973281,19,826.455749
0.96625,24,826.651195
0.981719,13,826.772625
0.947969,37,827.160499
0.955,32,827.464191
0.964844,25,827.735034
0.971875,20,827.922105
0.974688,18,828.120154
0.980313,14,828.263789
0.959219,29,828.606037
0.976094,17,828.773835
0.980313,14,828.950633
0.956406,31,829.243001
0.96625,24,829.467824
0.983125,12,829.576105
0.969063,22,829.790985
0.963437,26,830.074038
0.877656,87,846.209322
0.963437,26,846.442516
0.985938,10,846.524288
0.92125,56,847.210295
0.976094,17,847.384568
0.928281,51,847.852914
0.969063,22,848.037767
0.974688,18,848.190691
0.897344,73,848.813116
0.959219,29,849.066378
0.980313,14,849.183673
0.970469,21,849.359888
0.974688,18,849.516845
0.962031,27,849.764595
0.949375,36,850.07729
0.973281,19,850.24211
0.926875,52,865.752446
0.815781,131,867.297281
0.980313,14,867.467463
0.957812,30,867.831755
0.955,32,868.189673
0.957812,30,868.541991
0.987344,9,868.667043
0.983125,12,868.78444
0.980313,14,868.937386
0.96625,24,869.184668
0.976094,17,869.365167
0.9775,16,869.535969
0.950781,35,869.906597
0.949375,36,870.349074
0.533125,332,887.749583
0.959219,29,888.034916
0.914219,61,888.563397
0.967656,23,888.784207
0.970469,21,889.019328
0.973281,19,889.202728
0.983125,12,889.321648
0.969063,22,889.569549
0.96625,24,889.84198
0.959219,29,890.118431
0.959219,29,907.315485
0.969063,22,907.638607
0.963437,26,908.060786
0.963437,26,908.425439
0.969063,22,908.652612
0.955,32,909.007431
0.971875,20,909.218479
0.978906,15,909.367765
0.981719,13,909.485468
0.952187,34,909.846964
0.971875,20,910.08274
0.962031,27,910.386256
0.970469,21,910.677167
0.976094,17,910.860966
0.971875,20,911.05932
0.96625,24,911.288735
0.974688,18,911.462299
0.969063,22,911.699672
0.971875,20,911.940201
0.964844,25,912.22572
0.973281,19,912.427545
0.960625,28,912.693905
0.981719,13,912.874775
0.971875,20,929.96246
0.973281,19,930.12333
0.971875,20,930.288056
0.963437,26,930.508023
0.967656,23,930.719255
0.952187,34,931.043598
0.963437,26,931.263805
0.9775,16,931.395108
0.984531,11,931.484585
0.983125,12,931.580568
0.974688,18,931.733901
0.964844,25,931.988831
0.973281,19,932.148731
0.9775,16,932.296876
0.981719,13,932.457082
0.952187,34,932.871703
0.96625,24,933.085204
0.983125,12,933.191195
0.978906,15,933.318893
0.955,32,933.615908
0.96625,24,933.840348
0.9775,16,933.974472
0.980313,14,934.144926
0.9775,16,934.269776
0.963437,26,934.483242
0.978906,15,949.372224
0.970469,21,949.555802
0.969063,22,949.740263
0.974688,18,949.903164
0.962031,27,950.12088
0.971875,20,950.280297
0.9775,16,950.420339
0.9775,16,950.552204
0.959219,29,950.784825
0.974688,18,950.927211
0.976094,17,951.070232
0.976094,17,951.224841
0.967656,23,951.407376
0.957812,30,951.644525
0.971875,20,951.811336
0.976094,17,951.950284
0.955,32,952.209226
0.969063,22,952.388968
0.978906,15,952.506257
0.971875,20,952.660973
0.973281,19,952.822379
0.970469,21,952.990413
0.969063,22,953.173915
0.971875,20,953.351133
0.970469,21,967.410259
0.984531,11,967.511918
0.9775,16,967.648893
0.9775,16,967.790601
0.973281,19,967.962457
0.980313,14,968.092909
0.974688,18,968.25176
0.971875,20,968.428571
0.969063,22,968.621117
0.959219,29,968.877735
0.9775,16,969.013923
0.957812,30,969.26159
0.971875,20,969.439563
0.970469,21,969.612026
0.980313,14,969.720084
0.978906,15,969.871839
0.9775,16,970.027006
0.9775,16,970.18647
0.9775,16,970.324817
0.978906,15,970.481718
0.983125,12,970.603399
0.9775,16,970.742537
0.976094,17,970.88631
0.971875,20,971.057126
0.978906,15,971.181076
0.976094,17,971.319009
0.971875,20,971.481388
0.962031,27,971.698291
0.970469,21,986.042577
0.974688,18,986.213627
0.9775,16,986.349843
0.973281,19,986.512451
0.976094,17,986.661847
0.974688,18,986.816974
0.959219,29,987.074913
0.980313,14,987.206207
0.96625,24,987.411519
0.976094,17,987.549528
0.973281,19,987.729196
0.976094,17,987.904628
0.976094,17,988.069602
0.980313,14,988.191508
0.978906,15,988.335746
0.970469,21,988.528749
0.984531,11,988.636162
0.962031,27,988.916017
0.9775,16,989.064345
0.978906,15,989.199537
0.976094,17,989.344208
0.963437,26,989.598112
0.978906,15,989.732848
0.976094,17,989.893016
0.971875,20,990.062672
0.971875,20,990.22344
