#{"t_start": 1746566952.011918, "env_id": "MiniGrid-DoorKey-8x8-v0"}
r,l,t
0,640,20.656608
0,640,42.572737
0,640,72.433735
0,640,97.942674
0,640,138.218788
0.443125,396,155.965388
0.767969,165,158.834072
0.755313,174,161.463769
0,640,184.367874
0.863594,97,199.438433
0.319375,484,217.236702
0.843906,111,218.694116
0.952187,34,219.116714
0.856563,102,220.685005
0.877656,87,221.845993
0.596406,287,239.882786
0,640,260.843672
0.919844,57,261.532196
0.656875,244,276.937447
0.895938,74,277.932341
0.973281,19,278.149614
0.825625,124,279.758002
0.92125,56,280.474377
0.911406,63,281.449222
0.895938,74,282.620667
0.888906,79,297.049324
0.959219,29,297.494821
0.9775,16,297.699428
0.64,256,301.082662
0.928281,51,301.7693
0.834062,118,303.304813
0.866406,95,319.111161
0.960625,28,319.367406
0.918438,58,319.909756
0.919844,57,320.424996
0.96625,24,320.669226
0.933906,47,321.112741
0.952187,34,321.426077
0.9325,48,321.897243
0.9325,48,322.401875
0.938125,44,322.846039
0.940937,42,337.654416
0.942344,41,338.379645
0.933906,47,339.107202
0.973281,19,339.331159
0.957812,30,339.737332
0.959219,29,340.162135
0.956406,31,340.536205
0.96625,24,340.857027
0.953594,33,341.411058
0.900156,71,342.495524
0.957812,30,342.837532
0.974688,18,343.056902
0.949375,36,343.505605
0.963437,26,343.849829
0.946562,38,344.337114
0.969063,22,344.621419
0.928281,51,358.620025
0.955,32,358.914413
0.912813,62,359.537654
0.956406,31,359.838112
0.935312,46,360.41803
0.938125,44,360.911628
0.949375,36,361.315976
0.955,32,361.692539
0.96625,24,361.978735
0.960625,28,362.274847
0.940937,42,362.691765
0.950781,35,363.180153
0.970469,21,363.408472
0.967656,23,363.667481
0.967656,23,376.761733
0.94375,40,377.192238
0.915625,60,377.905078
0.949375,36,378.342209
0.984531,11,378.447705
0.939531,43,378.927452
0.96625,24,379.231613
0.984531,11,379.368968
0.960625,28,379.675051
0.973281,19,379.889543
0.8875,80,380.784881
0.9325,48,381.275037
0.949375,36,381.687554
0.939531,43,382.234563
0.971875,20,382.454053
0.962031,27,396.556054
0.981719,13,396.661749
0.959219,29,396.965232
0.96625,24,397.172982
0.877656,87,398.163039
0.960625,28,398.51209
0.976094,17,398.70333
0.969063,22,398.977171
0.96625,24,399.256589
0.939531,43,399.756131
0.957812,30,400.217815
0.9325,48,400.784747
0.969063,22,400.986371
0.955,32,401.290294
0.940937,42,401.681952
0.960625,28,418.700536
0.911406,63,419.67233
0.942344,41,420.258419
0.953594,33,420.734824
0.929688,50,421.373719
0.967656,23,421.692506
0.890313,78,423.038561
0.949375,36,423.576745
0.942344,41,424.192408
0.939531,43,424.747154
0.947969,37,425.267566
0.947969,37,425.832021
0.940937,42,441.470238
0.901563,70,442.194394
0.936719,45,442.622163
0.942344,41,443.046796
0.974688,18,443.224793
0.947969,37,443.624279
0.938125,44,444.065138
0.962031,27,444.360271
0.963437,26,444.635141
0.914219,61,445.297106
0.939531,43,445.80961
0.92125,56,446.478835
0.960625,28,446.810436
0.935312,46,461.768207
0.970469,21,461.98755
0.94375,40,462.373895
0.960625,28,462.667443
0.964844,25,462.894399
0.938125,44,463.269986
0.967656,23,463.457475
0.973281,19,463.618094
0.96625,24,463.822435
0.953594,33,464.09601
0.949375,36,464.423809
0.973281,19,464.581936
0.963437,26,464.829141
0.969063,22,465.020334
0.959219,29,465.267528
0.963437,26,465.507678
0.926875,52,465.966183
0.950781,35,480.160504
0.976094,17,480.330698
0.957812,30,480.642185
0.938125,44,481.097135
0.933906,47,481.561631
0.962031,27,481.87445
0.945156,39,482.309599
0.949375,36,482.776869
0.949375,36,483.216675
0.969063,22,483.445503
0.938125,44,483.943524
0.952187,34,484.337613
0.963437,26,484.613295
0.971875,20,484.835218
0.935312,46,485.338428
0.955,32,500.368166
0.971875,20,500.59476
0.949375,36,501.062593
0.957812,30,501.429473
0.974688,18,501.65338
0.969063,22,501.929414
0.962031,27,502.293071
0.967656,23,502.642578
0.963437,26,502.902274
0.969063,22,503.156212
0.960625,28,503.464031
0.946562,38,503.919811
0.970469,21,504.226371
0.950781,35,504.598756
0.953594,33,504.931345
0.957812,30,505.245049
0.967656,23,505.485971
0.964844,25,505.77626
0.960625,28,506.125093
0.962031,27,518.646983
0.974688,18,518.810691
0.970469,21,519.004788
0.957812,30,519.283873
0.976094,17,519.454215
0.956406,31,519.811558
0.973281,19,519.985067
0.967656,23,520.176036
0.957812,30,520.423435
0.970469,21,520.59764
0.960625,28,520.833074
0.956406,31,521.084361
0.9775,16,521.209226
0.939531,43,521.560362
0.964844,25,521.773261
0.976094,17,521.916399
0.963437,26,522.13036
0.974688,18,522.290019
0.959219,29,522.532201
0.962031,27,522.746788
0.959219,29,536.127608
0.963437,26,536.406429
0.976094,17,536.557981
0.967656,23,536.821001
0.963437,26,537.131924
0.967656,23,537.387474
0.956406,31,537.736986
0.971875,20,537.940922
0.964844,25,538.266159
0.971875,20,538.513897
0.953594,33,538.911339
0.976094,17,539.123212
0.960625,28,539.466705
0.9775,16,539.629376
0.976094,17,539.824034
0.967656,23,540.080961
0.974688,18,540.274738
0.96625,24,540.538354
0.967656,23,540.791093
0.964844,25,541.039916
0.950781,35,541.398768
0.960625,28,541.722954
0.963437,26,555.400396
0.953594,33,555.701715
0.976094,17,555.90756
0.96625,24,556.150329
0.950781,35,556.57285
0.960625,28,556.876689
0.967656,23,557.123108
0.981719,13,557.267353
0.981719,13,557.403792
0.960625,28,557.705124
0.960625,28,557.975608
0.974688,18,558.118386
0.971875,20,558.29028
0.964844,25,558.53871
0.959219,29,558.840361
0.957812,30,559.109171
0.973281,19,559.296798
0.981719,13,559.424233
0.955,32,559.758242
0.970469,21,560.024737
0.976094,17,560.199585
0.964844,25,560.462419
0.971875,20,578.518325
0.964844,25,578.860823
0.964844,25,579.166316
0.962031,27,579.574524
0.963437,26,579.882483
0.945156,39,580.442885
0.970469,21,580.780721
0.963437,26,581.173222
0.9775,16,581.387399
0.945156,39,582.131536
0.956406,31,582.524599
0.971875,20,582.787031
0.981719,13,582.950081
0.955,32,583.445682
0.971875,20,583.726403
0.940937,42,584.243431
0.869219,93,601.384215
0.978906,15,601.827941
0.973281,19,602.050428
0.963437,26,602.364815
0.983125,12,602.534619
0.976094,17,602.749901
0.978906,15,602.910657
0.976094,17,603.073372
0.952187,34,603.42197
0.973281,19,603.581615
0.969063,22,603.845503
0.953594,33,604.234639
0.974688,18,604.434438
0.9775,16,604.608566
0.9775,16,604.833063
0.976094,17,605.048942
0.949375,36,605.495875
0.962031,27,605.758922
0.978906,15,605.921158
0.956406,31,606.274287
0.967656,23,606.522672
0.973281,19,606.794084
0.9775,16,606.991139
0.96625,24,607.261711
0.952187,34,622.342433
0.956406,31,622.771074
0.976094,17,622.956491
0.946562,38,623.495603
0.9775,16,623.756463
0.976094,17,624.048512
0.971875,20,624.33349
0.962031,27,624.650034
0.970469,21,624.999051
0.984531,11,625.19446
0.978906,15,625.431621
0.96625,24,625.774781
0.955,32,626.205421
0.96625,24,626.51516
0.969063,22,626.789887
0.971875,20,627.045957
0.96625,24,627.389738
0.978906,15,627.593721
0.942344,41,628.142423
0.967656,23,628.486888
0.962031,27,628.896653
0.974688,18,629.180247
0.9775,16,629.363851
0.959219,29,644.527824
0.970469,21,644.806027
0.974688,18,645.034388
0.973281,19,645.281337
