#{"t_start": 1746566951.994097, "env_id": "MiniGrid-DoorKey-8x8-v0"}
r,l,t
0,640,20.674279
0,640,42.590432
0,640,72.451422
0,640,97.960461
0,640,138.236326
0,640,160.189581
0.3475,464,180.145539
0.773594,161,182.594373
0.6175,272,200.290244
0.814375,132,202.002743
0.53875,328,217.805251
0.796094,145,219.740417
0.929688,50,220.532565
0.267344,521,241.638279
0,640,262.621377
0.929688,50,263.278124
0.60625,280,279.090233
0.936719,45,279.689924
0.790469,149,281.877175
0.933906,47,282.582551
0.931094,49,296.302113
0.900156,71,297.615297
0.919844,57,298.427077
0.956406,31,298.837811
0.860781,99,300.077477
0.950781,35,300.532185
0.874844,89,301.726886
0.798906,143,318.296605
0.953594,33,318.653783
0.959219,29,319.006848
0.964844,25,319.257706
0.905781,67,319.8607
0.869219,93,320.751824
0.924063,54,321.249836
0.963437,26,321.492859
0.960625,28,321.768097
0.933906,47,322.238842
0.939531,43,322.700462
0.935312,46,323.142043
0.956406,31,338.052319
0.964844,25,338.424799
0.946562,38,338.984941
0.970469,21,339.297367
0.945156,39,339.797568
0.922656,55,340.54583
0.957812,30,340.975137
0.949375,36,341.51571
0.953594,33,342.066504
0.956406,31,342.522641
0.946562,38,342.957226
0.931094,49,343.569003
0.931094,49,344.221599
0.971875,20,344.450381
0.918438,58,358.560177
0.970469,21,358.786837
0.945156,39,359.160927
0.953594,33,359.50111
0.962031,27,359.748561
0.976094,17,359.955676
0.967656,23,360.24465
0.963437,26,360.550987
0.953594,33,360.911269
0.962031,27,361.222464
0.960625,28,361.511571
0.964844,25,361.856153
0.89875,72,362.594925
0.938125,44,363.162797
0.970469,21,363.390612
0.925469,53,376.823394
0.976094,17,377.01839
0.935312,46,377.534459
0.922656,55,378.215464
0.956406,31,378.527433
0.92125,56,379.167301
0.967656,23,379.446944
0.959219,29,379.796397
0.950781,35,380.144256
0.964844,25,380.423924
0.957812,30,380.793066
0.959219,29,381.109306
0.963437,26,381.371545
0.945156,39,381.811496
0.939531,43,382.358951
0.957812,30,396.511746
0.936719,45,396.939781
0.946562,38,397.263163
0.919844,57,397.950973
0.946562,38,398.410846
0.967656,23,398.652843
0.962031,27,398.994732
0.96625,24,399.274286
0.935312,46,399.813235
0.949375,36,400.355766
0.945156,39,400.802418
0.863594,97,401.708247
0.91,64,419.327116
0.907188,66,420.251152
0.947969,37,420.81058
0.935312,46,421.375966
