time/total_timesteps,train/loss,train/explained_variance,train/n_updates,train/dsc_loss_mean,train/pos_dsc_loss_mean,train/neg_dsc_loss_mean,train/key_loss_mean,train/door_loss_mean,train/pos_loss_mean,train/key_dist_mean,train/door_dist_mean,train/goal_dist_mean,train/n_valid_samples_mean,train/n_valid_pos_samples_mean,train/n_valid_neg_samples_mean,train/policy_loss_mean,train/value_loss_mean,train/entropy_loss_mean,train/adv_mean,train/adv_std_mean,train/clip_fraction_mean,train/approx_kl_div_mean,
204800,-0.0349232517182827,0.4583888053894043,100,0.03383749077329412,0.0208176106098108,0.0468573707039468,0.0,0.0,0.0,0.0,0.0,0.0,988.0,494.0,494.0,-0.023752256875468447,0.0034529139593360014,-0.9483771016821265,0.01809838949520781,0.21459361840970814,0.20062255859375,0.017610657960176468,
212992,0.029888736084103584,0.4323805570602417,104,0.03027013555401936,0.018940360881970264,0.04159991005144548,0.0,0.0,0.0,0.0,0.0,0.0,986.625,493.3125,493.3125,0.029323766677407548,0.0031919338143779896,-0.890327719040215,-0.034744684904580936,0.21425643702968955,0.192901611328125,0.016980478540062904,
221184,0.023546110838651657,0.4731042981147766,108,0.030322352278744802,0.018253485861350782,0.04239121843420435,0.0,0.0,0.0,0.0,0.0,0.0,984.359375,492.1875,492.171875,0.02712863447231939,0.002825777519319672,-0.8452235450968146,-0.03260379114362877,0.20896056876517832,0.185638427734375,0.01751422882080078,
229376,0.03156328946352005,0.48264551162719727,112,0.0285203452949645,0.01841939201403875,0.03862129869230557,0.0,0.0,0.0,0.0,0.0,0.0,982.75,491.375,491.375,0.04771464777877554,0.003381961760169361,-0.8017730191349983,-0.05204599438002333,0.2366097760386765,0.19110107421875,0.022204391658306122,
237568,0.02768617309629917,0.5015253126621246,116,0.028042292105965316,0.017167423357022926,0.03891716098587494,0.0,0.0,0.0,0.0,0.0,0.0,982.875,491.4375,491.4375,0.04528399818809703,0.0032493675134901423,-0.7645996203646064,-0.05068434594431892,0.24930458841845393,0.18450927734375,0.021323472261428833,
245760,-0.008375751785933971,0.4613211750984192,120,0.02408604577067308,0.014826506579993293,0.03334558509232011,0.0,0.0,0.0,0.0,0.0,0.0,980.75,490.375,490.375,-0.0015521520635957131,0.0027354977755749132,-0.6870029112324119,-0.003892983655532589,0.24285862315446138,0.173858642578125,0.01987803354859352,
253952,0.011330273933708668,0.39452534914016724,124,0.02473318653937895,0.015479142806725577,0.03398723012651317,0.0,0.0,0.0,0.0,0.0,0.0,978.25,489.125,489.125,0.016729346716601867,0.0022695931838825345,-0.6475795591250062,-0.021759729097539093,0.22867344482801855,0.161895751953125,0.01853898912668228,
262144,0.06121654435992241,0.3278331160545349,128,0.023903830253402703,0.014976712700445205,0.032830947973707225,0.0,0.0,0.0,0.0,0.0,0.0,978.75,489.375,489.375,0.06448013806948438,0.002411413883237401,-0.639107427559793,-0.06884494662517682,0.25925916340202093,0.1651611328125,0.020733196288347244,
270336,0.06069362163543701,0.4538557529449463,132,0.02240282396087423,0.01413618192600552,0.03066946617764188,0.0,0.0,0.0,0.0,0.0,0.0,979.375,489.6875,489.6875,0.0829059308161959,0.0033083180969697423,-0.6546471817418933,-0.08961840707343072,0.3027446148917079,0.198455810546875,0.02753186598420143,
278528,-0.0002532240469008684,0.5310736000537872,136,0.020702676716609858,0.01316586673783604,0.028239486840902828,0.0,0.0,0.0,0.0,0.0,0.0,978.875,489.4375,489.4375,0.021077249404697795,0.0024501851985405665,-0.6015650723129511,-0.027456001822429243,0.2834052285179496,0.186004638671875,0.025593221187591553,
286720,-0.026660718023777008,0.5390167236328125,140,0.019961166675784625,0.012600212190591265,0.027322121444740333,0.0,0.0,0.0,0.0,0.0,0.0,977.359375,488.6875,488.671875,-0.009558641531839385,0.0024593486323283287,-0.5479395850561559,0.0036259769076423254,0.2876568241044879,0.16522216796875,0.02230186015367508,
294912,0.008498648181557655,0.5215191543102264,144,0.02100201245775679,0.012628512864466757,0.029375512123806402,0.0,0.0,0.0,0.0,0.0,0.0,976.75,488.375,488.375,0.014759164489078103,0.0026509451017773245,-0.49415034567937255,-0.021740511911048088,0.3330566268414259,0.167755126953125,0.026446674019098282,
303104,-0.019182993099093437,0.6179868280887604,148,0.02038107454427518,0.012268308775674086,0.028493840407463722,0.0,0.0,0.0,0.0,0.0,0.0,976.5,488.25,488.25,-0.02840404022936127,0.0021151041637494927,-0.43117376044392586,0.02245240518823266,0.2994683934375644,0.136627197265625,0.022150453180074692,
311296,-0.04879060760140419,0.5283893942832947,152,0.017953366390429437,0.011076872891862877,0.02482986003087717,0.0,0.0,0.0,0.0,0.0,0.0,972.234375,486.125,486.109375,-0.052204207895556465,0.0016473217619932257,-0.3313536257483065,0.04722655567456968,0.2683426330331713,0.113006591796875,0.017604362219572067,
319488,0.0007904251688160002,0.5396552383899689,156,0.016311530031089205,0.0095519274182152,0.02307113270580885,0.0,0.0,0.0,0.0,0.0,0.0,969.625,484.8125,484.8125,-0.00774063597782515,0.0012890777570646605,-0.2673066039569676,0.005586765681073302,0.24486599257215858,0.0848388671875,0.013923154212534428,
327680,0.029819430783391,0.5105503797531128,160,0.016917623332119547,0.0095767810853431,0.024258465698949294,0.0,0.0,0.0,0.0,0.0,0.0,969.21875,484.625,484.59375,0.028675765031948686,0.0011862552155434969,-0.24978003511205316,-0.030761482819798402,0.24528713687323034,0.081817626953125,0.013836704194545746,
335872,0.1519317775964737,0.07966691255569458,164,0.01825790965813212,0.011669961844745558,0.0248458573660173,0.0,0.0,0.0,0.0,0.0,0.0,973.25,486.625,486.625,0.16840008553117514,0.0026493565273995046,-0.29124787729233503,-0.1730378137435764,0.4212238108739257,0.157867431640625,0.06721585988998413,
344064,0.5476920008659363,0.20296144485473633,168,0.026216820857371204,0.023062267726345453,0.02937137424305547,0.0,0.0,0.0,0.0,0.0,0.0,988.625,494.3125,494.3125,0.6000251602381468,0.014208682332537137,-0.4926944635808468,-0.6132680093869567,0.9965156493708491,0.259368896484375,0.06252065300941467,
352256,0.21233955025672913,0.3690628409385681,172,0.02018617358407937,0.012469560089812148,0.02790278702013893,0.0,0.0,0.0,0.0,0.0,0.0,986.734375,493.375,493.359375,0.21661110152490437,0.012270990569959395,-0.578983586281538,-0.22780084004625678,0.93355324678123,0.25701904296875,0.05969209596514702,
360448,-0.00834362767636776,0.34495407342910767,176,0.01999311349936761,0.01162491522700293,0.028361311753542395,0.0,0.0,0.0,0.0,0.0,0.0,986.234375,493.125,493.109375,0.014156041521346197,0.010003799776313826,-0.5947855385020375,-0.04536741849369719,0.9955623121932149,0.233917236328125,0.046089038252830505,
368640,-0.3241235911846161,0.47846269607543945,180,0.017566801310749725,0.010143253079149872,0.02499034932407085,0.0,0.0,0.0,0.0,0.0,0.0,978.0,489.0,489.0,-0.3523395783267915,0.004677955668739742,-0.39122223760932684,0.3398901540786028,0.5532930176705122,0.184906005859375,0.037820298224687576,
376832,-0.22607213258743286,0.5187345743179321,184,0.014315791566332337,0.007775869129545754,0.020855713930359343,0.0,0.0,0.0,0.0,0.0,0.0,972.84375,486.4375,486.40625,-0.2684584907256067,0.0024423066060990095,-0.2585852805059403,0.2613484866451472,0.43386723194271326,0.0985107421875,0.015903856605291367,
385024,-0.12631836533546448,0.5272850692272186,188,0.014969654956075829,0.008942714383010752,0.020996595465476275,0.0,0.0,0.0,0.0,0.0,0.0,971.984375,486.0,485.984375,-0.13618338876403868,0.0020288832711230498,-0.20564850559458137,0.1317538603907451,0.3945255554281175,0.081756591796875,0.015817593783140182,
393216,-0.07173829525709152,0.4972606897354126,192,0.012218443971505621,0.007180560234701261,0.01725632775696795,0.0,0.0,0.0,0.0,0.0,0.0,968.984375,484.5,484.484375,-0.05232152415555902,0.0013636228886753088,-0.1550195966847241,0.05068690273037646,0.33950467174872756,0.05035400390625,0.011093409731984138,
401408,-0.032083261758089066,0.5444661974906921,196,0.011213998048333451,0.0065838515511131845,0.015844144587390474,0.0,0.0,0.0,0.0,0.0,0.0,968.734375,484.375,484.359375,-0.036680573532066774,0.0012383639905237942,-0.138059823657386,0.03475049902044702,0.3326496472582221,0.0487060546875,0.01181461289525032,
409600,0.017323771491646767,0.6082217991352081,200,0.012009075970127014,0.006304162696324056,0.017713989286676224,0.0,0.0,0.0,0.0,0.0,0.0,967.71875,483.875,483.84375,-0.012126059487854945,0.0010243099286526558,-0.11564993986394256,0.010864160363780684,0.3173856916837394,0.041168212890625,0.008711026050150394,
417792,0.04395843669772148,0.609409511089325,204,0.011546428180736257,0.006345642363157822,0.016747213970575103,0.0,0.0,0.0,0.0,0.0,0.0,968.21875,484.125,484.09375,0.029350710196013097,0.001471669665988884,-0.12595827120821923,-0.03204885747982189,0.3831521309912205,0.0509033203125,0.017619244754314423,
425984,0.07967371493577957,0.46909189224243164,208,0.012633651938813273,0.007248476042150287,0.01801882774088881,0.0,0.0,0.0,0.0,0.0,0.0,971.96875,486.0,485.96875,0.08749278978211805,0.0015937452353682602,-0.1540755103342235,-0.09197732876054943,0.4591801641508937,0.090301513671875,0.020015044137835503,
434176,0.011483917012810707,0.46843308210372925,212,0.012482029935199535,0.006924836452526506,0.018039223468804266,0.0,0.0,0.0,0.0,0.0,0.0,970.953125,485.5,485.453125,0.01543400881200796,0.0023550891455670353,-0.13783810497261584,-0.016184153024369152,0.5814291373826563,0.090576171875,0.04952527582645416,
442368,-0.08500690013170242,0.607564389705658,216,0.011928805546631338,0.005957372322882293,0.01790023873172686,0.0,0.0,0.0,0.0,0.0,0.0,968.34375,484.1875,484.15625,-0.0756476781098172,0.0012956555701748584,-0.11522826075088233,0.0723013961687684,0.4346740413457155,0.0623779296875,0.0255124568939209,
450560,-0.09549279510974884,0.6753093898296356,220,0.011122167627036106,0.0063366421818500385,0.015907692997643608,0.0,0.0,0.0,0.0,0.0,0.0,967.859375,483.9375,483.921875,-0.08890345715917647,0.0010747032374638366,-0.1021562572568655,0.08795858308440074,0.3968298267573118,0.04498291015625,0.012060632929205894,
458752,0.00022793642710894346,0.7091282606124878,224,0.009521387462882558,0.005264460214675637,0.013778314703813521,0.0,0.0,0.0,0.0,0.0,0.0,967.21875,483.625,483.59375,-0.012207754487462807,0.001060981981936493,-0.1006004698574543,0.010076865957671544,0.3920048796571791,0.048675537109375,0.0176905058324337,
466944,0.14627529680728912,0.5644654035568237,228,0.01024106856493745,0.006289393477345584,0.014192743557941867,0.0,0.0,0.0,0.0,0.0,0.0,970.609375,485.3125,485.296875,0.1658553211018443,0.0021155064860067796,-0.135007043951191,-0.17652823799289763,0.6289187520742416,0.1239013671875,0.23595784604549408,
475136,0.11675264686346054,0.35122251510620117,232,0.014252865446906071,0.008676425819430733,0.019829305201710667,0.0,0.0,0.0,0.0,0.0,0.0,972.21875,486.125,486.09375,0.1476542247692123,0.002510556494598859,-0.18685397435911,-0.15506934106815606,0.8131786826997995,0.129058837890625,0.08694927394390106,
483328,0.12740901112556458,0.5018027126789093,236,0.01391839613643242,0.008896828614524566,0.018939963563752826,0.0,0.0,0.0,0.0,0.0,0.0,976.09375,488.0625,488.03125,0.2159047240857035,0.00458882059683674,-0.22457095724530518,-0.23470357269980013,0.9921790128573775,0.166046142578125,0.09259257465600967,
491520,-0.06890707463026047,0.6136198341846466,240,0.010495114256627858,0.005870159377082018,0.015120069110707846,0.0,0.0,0.0,0.0,0.0,0.0,971.25,485.625,485.625,-0.03326401267986512,0.0021653219664585777,-0.20306109730154276,0.02486446722468827,0.6510931868106127,0.139312744140625,0.03591078519821167,
499712,0.15432199835777283,0.5656432509422302,244,0.010441662776429439,0.006183868292282568,0.014699457243750658,0.0,0.0,0.0,0.0,0.0,0.0,972.0,486.0,486.0,0.12080214591696858,0.0024541800521546975,-0.17042663763277233,-0.13055491668637842,0.7088624024763703,0.14813232421875,0.10004016757011414,
507904,-0.15932534635066986,0.6568396091461182,248,0.0077025154623697745,0.004514878402915201,0.010890152382671658,0.0,0.0,0.0,0.0,0.0,0.0,969.359375,484.6875,484.671875,-0.16002631362061948,0.001346577271760907,-0.12480238906573504,0.15519244852475822,0.5413252902217209,0.06298828125,0.018090080469846725,
516096,-0.0930403545498848,0.6802969574928284,252,0.009680380313511705,0.005358748450817075,0.014002012257151364,0.0,0.0,0.0,0.0,0.0,0.0,969.125,484.5625,484.5625,-0.06846206885529682,0.0013845344064975507,-0.10854775505140424,0.06546555402019294,0.5556864906102419,0.04315185546875,0.011384151875972748,
524288,-0.04986616224050522,0.6667925119400024,256,0.008894938089724747,0.004620822270226199,0.01316905386875078,0.0,0.0,0.0,0.0,0.0,0.0,968.875,484.4375,484.4375,-0.05435079153539846,0.0015715688423370011,-0.09613982995506376,0.046364779154828284,0.645414708647877,0.05828857421875,0.059477727860212326,
