#{"t_start": 1746566952.03899, "env_id": "MiniGrid-DoorKey-8x8-v0"}
r,l,t
0.973281,19,607.243334
0.959219,29,622.265103
0.969063,22,622.553897
0.976094,17,622.78397
0.96625,24,623.105286
0.970469,21,623.387666
0.959219,29,623.888693
0.969063,22,624.200266
0.969063,22,624.466952
0.96625,24,624.812459
0.964844,25,625.227451
0.980313,14,625.456569
0.964844,25,625.790613
0.976094,17,626.017228
0.970469,21,626.27539
0.957812,30,626.692104
0.985938,10,626.832647
0.9775,16,627.018938
0.953594,33,627.460307
0.964844,25,627.806937
0.960625,28,628.227636
0.976094,17,628.459908
0.971875,20,628.738988
0.970469,21,629.088423
0.947969,37,644.362916
0.953594,33,644.779083
0.96625,24,645.072024
0.9775,16,645.285352
0.96625,24,645.556147
0.976094,17,645.731067
0.976094,17,645.915891
0.952187,34,646.310997
0.964844,25,646.574396
0.969063,22,646.808607
0.970469,21,647.027338
0.960625,28,647.349505
0.981719,13,647.46372
0.963437,26,647.71457
0.974688,18,647.957154
0.9775,16,648.141254
0.963437,26,648.448629
0.967656,23,648.702667
0.978906,15,648.893116
0.9775,16,649.089549
0.974688,18,649.301635
0.960625,28,649.623976
0.96625,24,650.01287
0.96625,24,666.415876
0.976094,17,666.576357
0.973281,19,666.747578
0.962031,27,667.066374
0.9775,16,667.219146
0.960625,28,667.552457
0.953594,33,667.922979
0.969063,22,668.140115
0.974688,18,668.314046
0.96625,24,668.563622
0.962031,27,668.842782
0.976094,17,669.021803
0.962031,27,669.279607
0.974688,18,669.486237
0.971875,20,669.690251
0.973281,19,669.897448
0.94375,40,670.350173
0.974688,18,670.535317
0.969063,22,670.742508
0.962031,27,670.997568
0.960625,28,671.270026
0.9775,16,671.479527
0.973281,19,684.224108
0.970469,21,684.41079
0.971875,20,684.572237
0.956406,31,684.829325
0.953594,33,685.102501
0.978906,15,685.230959
0.970469,21,685.414388
0.964844,25,685.628599
0.955,32,685.880584
0.953594,33,686.146292
0.970469,21,686.317361
0.957812,30,686.562083
0.963437,26,686.765849
0.9775,16,686.89585
0.9775,16,687.019207
0.962031,27,687.239912
0.978906,15,687.358852
0.978906,15,687.477934
0.978906,15,687.593424
0.971875,20,687.751741
0.9775,16,687.882974
0.974688,18,688.029917
0.976094,17,688.175494
0.970469,21,688.351871
0.967656,23,701.697771
0.973281,19,701.92535
0.9775,16,702.111775
0.974688,18,702.347242
0.974688,18,702.676169
0.978906,15,702.886616
0.964844,25,703.208256
0.957812,30,703.549651
0.952187,34,703.97061
0.9775,16,704.154167
0.945156,39,704.573747
0.957812,30,704.931194
0.964844,25,705.23604
0.953594,33,705.668032
0.969063,22,705.892083
0.973281,19,706.129591
0.978906,15,706.284776
0.971875,20,706.574712
0.964844,25,706.996577
0.9775,16,707.270778
0.973281,19,707.579256
0.974688,18,707.827978
0.967656,23,708.112043
0.983125,12,723.920321
0.976094,17,724.121642
0.959219,29,724.553042
0.96625,24,724.814906
0.969063,22,725.105291
0.971875,20,725.32956
0.980313,14,725.495963
0.938125,44,726.157269
0.963437,26,726.53153
0.974688,18,726.823851
0.976094,17,726.994205
0.964844,25,727.287748
0.971875,20,727.493184
0.959219,29,727.856078
0.974688,18,728.073399
0.9775,16,728.314363
0.962031,27,728.729701
0.9775,16,728.963459
0.9775,16,729.164579
0.978906,15,729.37189
0.976094,17,729.627112
0.959219,29,730.033696
0.978906,15,730.24532
0.978906,15,730.444458
0.96625,24,745.835684
0.963437,26,746.221853
0.964844,25,746.517198
0.970469,21,746.814492
0.976094,17,747.126254
0.973281,19,747.428165
0.967656,23,747.706207
0.964844,25,748.061778
0.973281,19,748.32545
0.980313,14,748.519919
0.9775,16,748.768552
0.962031,27,749.144668
0.969063,22,749.397732
0.976094,17,749.631683
0.971875,20,749.912496
0.964844,25,750.254729
0.976094,17,750.470322
0.980313,14,750.672874
0.96625,24,751.013325
0.962031,27,751.373938
0.981719,13,751.543407
0.964844,25,751.785531
0.973281,19,752.03013
0.969063,22,752.416542
0.96625,24,766.011831
0.9775,16,766.190868
0.974688,18,766.376356
0.973281,19,766.572584
0.969063,22,766.815792
0.971875,20,767.039822
0.983125,12,767.183325
0.983125,12,767.300148
0.969063,22,767.584493
0.9775,16,767.742995
0.974688,18,767.979478
0.969063,22,768.19443
0.980313,14,768.349786
0.969063,22,768.583042
0.969063,22,768.837956
0.976094,17,769.007731
0.976094,17,769.188284
0.970469,21,769.400035
0.970469,21,769.608062
0.980313,14,769.751341
0.974688,18,769.889625
0.964844,25,770.118065
0.973281,19,770.330674
0.971875,20,770.530321
0.978906,15,770.676518
0.976094,17,770.848434
0.978906,15,770.976432
0.976094,17,771.151242
0.974688,18,771.356188
0.969063,22,786.240574
0.976094,17,786.384073
0.971875,20,786.55266
0.96625,24,786.776839
0.969063,22,786.992912
0.974688,18,787.223753
0.970469,21,787.406386
0.974688,18,787.565831
0.9775,16,787.719114
0.973281,19,787.89194
0.970469,21,788.093287
0.973281,19,788.260991
0.969063,22,788.492444
0.973281,19,788.647026
0.980313,14,788.793986
0.963437,26,789.055535
0.969063,22,789.275929
0.978906,15,789.461467
0.969063,22,789.650632
0.974688,18,789.84055
0.980313,14,789.981328
0.981719,13,790.088968
0.974688,18,790.23423
0.978906,15,790.376513
0.980313,14,790.494583
0.96625,24,790.719638
0.978906,15,790.855673
0.976094,17,804.356212
0.9775,16,804.495195
0.978906,15,804.673056
0.976094,17,804.854233
0.980313,14,805.032065
0.967656,23,805.309356
0.969063,22,805.595851
0.980313,14,805.744279
0.976094,17,805.988124
0.976094,17,806.146666
0.9775,16,806.289906
0.973281,19,806.435796
0.978906,15,806.588602
0.973281,19,806.730301
0.955,32,807.02417
0.976094,17,807.20284
0.969063,22,807.381807
0.967656,23,807.689484
