#{"t_start": 1746566952.007564, "env_id": "MiniGrid-DoorKey-8x8-v0"}
r,l,t
0,640,20.660723
0,640,42.576942
0,640,72.437881
0,640,97.946848
0,640,138.222657
0,640,160.175952
0,640,182.816298
0.455781,387,201.966839
0.835469,117,203.405393
0.604844,281,218.667291
0.862187,98,220.021744
0.765156,167,222.501015
0.803125,140,238.530224
0.924063,54,239.231702
0.769375,164,241.274463
0.604844,281,257.499409
0.942344,41,258.081084
0.952187,34,258.502562
0.731406,191,261.084642
0.950781,35,261.497565
0.727187,194,276.23
0.928281,51,276.911081
0.92125,56,277.602196
0.925469,53,278.30476
0.956406,31,278.723148
0.919844,57,279.454671
0.469844,377,298.260274
0.911406,63,299.075705
0.894531,75,300.014782
0.915625,60,300.801238
0.974688,18,301.058967
0.907188,66,301.940438
0.929688,50,302.585745
0.914219,61,318.103864
0.960625,28,318.396632
0.908594,65,319.145365
0.895938,74,319.816696
0.860781,99,320.774394
0.880469,85,321.561785
0.91,64,322.193811
0.925469,53,322.753285
0.952187,34,323.082748
0.967656,23,337.777381
0.897344,73,338.934431
0.935312,46,339.551517
0.946562,38,340.118201
0.945156,39,340.571724
0.863594,97,342.115675
0.9775,16,342.35016
0.938125,44,342.870279
0.947969,37,343.357107
0.912813,62,344.120003
0.963437,26,344.449869
0.957812,30,358.207101
0.949375,36,358.653473
0.957812,30,358.926845
0.950781,35,359.308795
0.942344,41,359.691067
0.964844,25,359.976532
0.974688,18,360.200265
0.953594,33,360.584925
0.9775,16,360.763949
0.940937,42,361.234706
0.964844,25,361.497961
0.942344,41,362.007075
0.964844,25,362.270093
0.919844,57,362.904886
0.917031,59,363.615251
0.918438,58,377.092018
0.9325,48,377.623452
0.955,32,378.009545
0.918438,58,378.697445
0.935312,46,379.227356
0.983125,12,379.373078
0.96625,24,379.621884
0.883281,83,380.522756
0.940937,42,381.022165
0.957812,30,381.334206
0.956406,31,381.683232
0.963437,26,382.000398
0.976094,17,382.230268
0.955,32,396.434848
0.974688,18,396.575861
0.952187,34,396.917357
0.967656,23,397.118861
0.938125,44,397.507188
0.980313,14,397.700914
0.936719,45,398.288101
0.957812,30,398.62601
0.942344,41,399.130233
0.955,32,399.489878
0.905781,67,400.41056
0.928281,51,400.95136
0.967656,23,401.155234
0.940937,42,401.56256
0.905781,67,419.150097
0.969063,22,419.446287
0.971875,20,419.754945
0.964844,25,420.105105
0.9325,48,420.814591
0.974688,18,421.073933
0.956406,31,421.414697
0.883281,83,422.799239
0.945156,39,423.408514
0.970469,21,423.713382
0.950781,35,424.225288
0.967656,23,424.550956
0.974688,18,424.76326
0.926875,52,425.524705
0.971875,20,425.820754
0.967656,23,426.122534
0.935312,46,441.729927
0.959219,29,442.048969
0.953594,33,442.366835
0.915625,60,442.977511
0.933906,47,443.458107
0.960625,28,443.752619
0.92125,56,444.317951
0.956406,31,444.662052
0.936719,45,445.167917
0.962031,27,445.436302
0.963437,26,445.768338
0.952187,34,446.177996
0.953594,33,446.576914
0.959219,29,461.412644
0.950781,35,461.749278
0.974688,18,461.930098
0.947969,37,462.283256
0.980313,14,462.425765
0.919844,57,462.976789
0.967656,23,463.170527
0.963437,26,463.387119
0.981719,13,463.497641
0.933906,47,463.893153
0.956406,31,464.158002
0.883281,83,464.905572
0.96625,24,465.11302
0.936719,45,465.511774
0.978906,15,465.640868
0.900156,71,480.155762
0.974688,18,480.334793
0.931094,49,480.846127
0.946562,38,481.233974
0.938125,44,481.673102
0.962031,27,481.983389
0.955,32,482.346541
0.974688,18,482.549658
0.918438,58,483.304436
0.970469,21,483.514729
0.971875,20,483.758208
0.945156,39,484.200813
0.94375,40,484.637768
0.931094,49,485.160652
0.952187,34,500.244996
0.963437,26,500.514938
0.955,32,500.926878
0.953594,33,501.343393
0.956406,31,501.690947
0.931094,49,502.363303
0.96625,24,502.703951
0.950781,35,503.058364
0.980313,14,503.237015
0.952187,34,503.616797
0.971875,20,503.857909
0.959219,29,504.273778
0.973281,19,504.449526
0.969063,22,504.672293
0.94375,40,505.085117
0.9775,16,505.271459
0.949375,36,505.662162
0.981719,13,505.810297
0.959219,29,506.152147
0.940937,42,518.814806
0.957812,30,519.099008
0.969063,22,519.297148
0.962031,27,519.604689
0.947969,37,519.97204
0.952187,34,520.251659
0.957812,30,520.504278
0.949375,36,520.804612
0.962031,27,521.023057
0.960625,28,521.245677
0.96625,24,521.440919
0.964844,25,521.649501
0.974688,18,521.804571
0.974688,18,521.953857
0.971875,20,522.118568
0.971875,20,522.294101
0.960625,28,522.528249
0.946562,38,522.831902
0.94375,40,536.370032
0.973281,19,536.537051
0.926875,52,537.135941
0.970469,21,537.375258
0.962031,27,537.667363
0.967656,23,537.917027
0.969063,22,538.187828
0.9775,16,538.384604
0.974688,18,538.60505
0.929688,50,539.238522
0.959219,29,539.570997
0.970469,21,539.796487
0.960625,28,540.116621
0.957812,30,540.436813
0.964844,25,540.701667
0.960625,28,540.999234
0.949375,36,541.372793
0.967656,23,541.585873
0.950781,35,555.404467
0.947969,37,555.757337
0.9775,16,555.938102
0.970469,21,556.154492
0.957812,30,556.525154
0.963437,26,556.814388
0.973281,19,557.001233
0.981719,13,557.149782
0.981719,13,557.291564
0.973281,19,557.508941
0.980313,14,557.657401
0.957812,30,557.938996
0.976094,17,558.084258
0.981719,13,558.192472
0.971875,20,558.381867
0.960625,28,558.65595
0.9775,16,558.82911
0.969063,22,559.026534
0.963437,26,559.263778
0.964844,25,559.531484
0.947969,37,559.94898
0.980313,14,560.100317
0.96625,24,560.33112
0.974688,18,578.33538
0.959219,29,578.727434
0.970469,21,579.004023
0.9775,16,579.212427
0.976094,17,579.456261
0.96625,24,579.788672
0.974688,18,579.977623
0.960625,28,580.411889
0.971875,20,580.707942
0.976094,17,581.006143
0.978906,15,581.22804
0.973281,19,581.475455
0.962031,27,581.823225
0.924063,54,582.752057
0.935312,46,583.416843
0.962031,27,583.806604
0.953594,33,584.211692
0.967656,23,584.495464
0.946562,38,584.993493
0.978906,15,585.18394
0.973281,19,601.342932
0.960625,28,601.95531
0.938125,44,602.520541
0.940937,42,602.977566
0.96625,24,603.237408
0.976094,17,603.408337
0.960625,28,603.673294
0.950781,35,604.086166
0.962031,27,604.399044
0.973281,19,604.597139
0.947969,37,605.081886
0.973281,19,605.358895
0.962031,27,605.603496
0.971875,20,605.809444
0.971875,20,606.044488
0.963437,26,606.343889
0.980313,14,606.471796
0.973281,19,606.769913
0.953594,33,607.139691
0.978906,15,607.316682
0.962031,27,622.313533
0.973281,19,622.565337
0.971875,20,622.834809
0.974688,18,623.071682
0.962031,27,623.43703
0.963437,26,623.890463
0.947969,37,624.405671
0.976094,17,624.611856
0.96625,24,624.984376
0.959219,29,625.477402
0.974688,18,625.730409
0.984531,11,625.8632
0.976094,17,626.076799
0.96625,24,626.403559
0.9775,16,626.613963
0.974688,18,626.863772
0.960625,28,627.252372
0.978906,15,627.43669
0.983125,12,627.59777
0.969063,22,627.892198
0.967656,23,628.231875
0.967656,23,628.563271
0.969063,22,628.879617
0.967656,23,629.230724
0.970469,21,644.301699
0.971875,20,644.531894
0.967656,23,644.829375
0.957812,30,645.210865
0.971875,20,645.456118
0.96625,24,645.712066
0.962031,27,646.00254
0.964844,25,646.294416
0.939531,43,646.764337
0.971875,20,646.952948
0.967656,23,647.235822
0.96625,24,647.466015
0.973281,19,647.648333
0.978906,15,647.810287
0.973281,19,648.049693
0.978906,15,648.233704
0.963437,26,648.540432
0.973281,19,648.747395
0.955,32,649.143279
0.978906,15,649.323464
0.973281,19,649.548741
0.962031,27,649.954122
0.967656,23,666.365976
0.973281,19,666.556405
0.970469,21,666.744816
0.974688,18,666.9273
0.952187,34,667.313558
0.971875,20,667.557492
0.973281,19,667.746872
0.967656,23,668.00704
0.96625,24,668.24976
0.950781,35,668.604511
0.964844,25,668.865001
0.963437,26,669.139038
0.964844,25,669.371653
0.964844,25,669.640572
0.967656,23,669.898154
0.959219,29,670.21913
0.967656,23,670.473767
0.946562,38,670.849328
0.962031,27,671.095106
