#{"t_start": 1746566952.0153348, "env_id": "MiniGrid-DoorKey-8x8-v0"}
r,l,t
0,640,20.653193
0,640,42.569329
0,640,72.430242
0,640,97.939247
0,640,138.215272
0,640,160.168482
0,640,182.808865
0.800312,142,198.844567
0.285625,508,216.859685
0.957812,30,217.298338
0.163281,595,239.597076
0.789062,150,241.513186
0.483906,367,258.913672
0.687812,222,261.77872
0.973281,19,262.03315
0.713125,204,276.922281
0.881875,84,278.041078
0.967656,23,278.297419
0.94375,40,278.815996
0.919844,57,279.568819
0.877656,87,280.674941
0.955,32,281.216847
0.914219,61,282.232906
0.938125,44,282.870065
0.911406,63,297.056469
0.904375,68,298.044345
0.8425,112,299.504353
0.92125,56,300.223314
0.907188,66,301.116302
0.925469,53,301.831761
0.874844,89,302.962096
0.947969,37,318.186387
0.936719,45,318.661472
0.883281,83,319.520594
0.915625,60,320.077201
0.918438,58,320.629455
0.945156,39,321.003376
0.950781,35,321.315793
0.935312,46,321.763931
0.969063,22,321.978577
0.9325,48,322.485529
0.949375,36,322.852552
0.946562,38,337.583963
0.912813,62,338.680967
0.938125,44,339.290107
0.926875,52,339.994581
0.959219,29,340.36738
0.870625,92,341.744937
0.945156,39,342.352249
0.96625,24,342.644413
0.959219,29,342.994867
0.933906,47,343.584196
0.940937,42,344.112533
0.939531,43,344.688046
0.931094,49,358.645933
0.880469,85,359.487859
0.952187,34,359.807798
0.917031,59,360.538041
0.973281,19,360.736773
0.835469,117,362.109057
0.9325,48,362.573802
0.969063,22,362.839711
0.96625,24,363.157842
0.959219,29,363.486968
0.967656,23,363.73841
0.942344,41,377.046207
0.962031,27,377.312596
0.953594,33,377.705698
0.969063,22,377.982263
0.94375,40,378.444256
0.980313,14,378.622684
0.960625,28,378.913073
0.92125,56,379.568324
0.960625,28,379.896954
0.964844,25,380.152921
0.964844,25,380.426699
0.959219,29,380.781428
0.959219,29,381.099545
0.924063,54,381.675698
0.973281,19,381.907977
0.956406,31,382.293296
0.911406,63,396.731488
0.963437,26,397.01105
0.919844,57,397.517855
0.96625,24,397.861459
0.960625,28,398.212562
0.953594,33,398.597517
0.967656,23,398.892429
0.967656,23,399.159569
0.956406,31,399.501948
0.964844,25,399.819351
0.881875,84,400.886191
0.945156,39,401.244236
0.959219,29,401.512286
0.942344,41,401.905363
0.949375,36,419.223984
0.933906,47,419.881824
0.955,32,420.364977
0.962031,27,420.754498
0.963437,26,421.12071
0.973281,19,421.321518
0.964844,25,421.66979
0.960625,28,422.086209
0.967656,23,422.479539
0.978906,15,422.808383
0.918438,58,423.693965
0.935312,46,424.380018
0.96625,24,424.643796
0.949375,36,425.171629
0.973281,19,425.469553
0.969063,22,425.78468
0.900156,71,441.722274
0.955,32,442.06838
0.967656,23,442.294945
0.959219,29,442.572483
0.929688,50,443.086327
0.967656,23,443.325766
0.91,64,443.984352
0.929688,50,444.524551
0.970469,21,444.757515
0.970469,21,444.988139
0.949375,36,445.359766
0.938125,44,445.879117
0.96625,24,446.179691
0.955,32,446.569503
0.960625,28,461.390696
0.959219,29,461.681026
0.945156,39,462.057514
0.960625,28,462.329176
0.926875,52,462.845761
0.938125,44,463.223192
0.949375,36,463.525467
0.952187,34,463.809501
0.96625,24,464.009888
0.956406,31,464.292556
0.973281,19,464.453349
0.940937,42,464.836744
0.939531,43,465.202327
0.946562,38,465.548981
0.936719,45,465.944827
0.955,32,480.097728
0.959219,29,480.400333
0.933906,47,480.909637
0.964844,25,481.143327
0.956406,31,481.432571
0.967656,23,481.699209
0.902969,69,482.484436
0.970469,21,482.773432
0.959219,29,483.131456
0.945156,39,483.572946
0.964844,25,483.852245
0.950781,35,484.256801
0.973281,19,484.449113
0.974688,18,484.648637
0.96625,24,484.899359
0.942344,41,485.36626
0.956406,31,500.388326
0.96625,24,500.664636
0.970469,21,500.952354
0.959219,29,501.317595
0.963437,26,501.604434
0.940937,42,502.13803
0.976094,17,502.397325
0.969063,22,502.707029
0.952187,34,503.050858
0.974688,18,503.270517
0.952187,34,503.642403
0.959219,29,504.043295
0.973281,19,504.294753
0.967656,23,504.496115
0.91,64,505.177288
0.956406,31,505.518257
0.94375,40,506.000198
0.96625,24,518.524663
0.960625,28,518.769691
0.964844,25,519.001337
0.926875,52,519.517882
0.96625,24,519.787509
0.970469,21,519.981627
0.969063,22,520.164283
0.949375,36,520.464061
0.96625,24,520.661347
0.938125,44,521.024641
0.960625,28,521.246804
0.964844,25,521.449194
0.963437,26,521.66791
0.967656,23,521.863187
0.984531,11,521.955384
0.950781,35,522.25308
0.952187,34,522.536733
0.956406,31,522.784835
0.970469,21,536.09092
0.963437,26,536.379448
0.96625,24,536.595298
0.969063,22,536.844205
0.940937,42,537.350767
0.974688,18,537.538859
0.976094,17,537.73352
0.901563,70,538.555909
0.971875,20,538.825655
0.959219,29,539.180942
0.955,32,539.55523
0.970469,21,539.761188
0.939531,43,540.255401
0.956406,31,540.585834
0.962031,27,540.877729
0.959219,29,541.190764
0.949375,36,541.537458
0.938125,44,555.433097
0.964844,25,555.659847
0.967656,23,555.921751
0.96625,24,556.166495
0.96625,24,556.454189
0.964844,25,556.743764
0.957812,30,557.062957
0.957812,30,557.392277
