#{"t_start": 1746566951.99391, "env_id": "MiniGrid-DoorKey-8x8-v0"}
r,l,t
0,640,20.674619
0,640,42.590692
0,640,72.451654
0,640,97.960674
0,640,138.236659
0,640,160.189972
0,640,182.830289
0.340469,469,203.006643
0,640,223.465072
0.734219,189,239.913584
0.848125,108,241.267717
0.869219,93,242.38448
0.571094,305,259.096118
0.827031,123,260.722983
0.877656,87,261.800134
0.855156,103,263.21236
0.911406,63,276.199833
0.946562,38,276.703381
0.850938,106,278.093573
0.955,32,278.506294
0.92125,56,279.202929
0.814375,132,280.986273
0.936719,45,281.734426
0.926875,52,282.538418
0.912813,62,296.519657
0.897344,73,297.769717
0.836875,116,299.34847
0.901563,70,300.214185
0.94375,40,300.735078
0.963437,26,301.100624
0.880469,85,302.271623
0.8875,80,303.277647
0.959219,29,318.335254
0.953594,33,318.698971
0.836875,116,319.849591
0.928281,51,320.320243
0.976094,17,320.479156
0.939531,43,320.915451
0.963437,26,321.147985
0.957812,30,321.42717
0.902969,69,322.098967
0.967656,23,322.359227
0.912813,62,322.975495
0.919844,57,338.192609
0.933906,47,338.874119
0.971875,20,339.189336
0.939531,43,339.755311
0.962031,27,340.158685
0.952187,34,340.562198
0.956406,31,341.036391
0.974688,18,341.30061
0.924063,54,342.181724
0.970469,21,342.47199
0.964844,25,342.764346
0.950781,35,343.209041
0.956406,31,343.569226
0.960625,28,343.948215
0.950781,35,344.39441
0.908594,65,358.581302
0.974688,18,358.751806
0.907188,66,359.420043
0.949375,36,359.758121
0.94375,40,360.257122
0.953594,33,360.635729
0.952187,34,361.033333
0.955,32,361.359991
0.888906,79,362.274877
0.970469,21,362.481069
0.919844,57,363.179223
0.963437,26,363.467972
0.956406,31,363.798871
0.955,32,377.018601
0.964844,25,377.283947
0.947969,37,377.710575
0.984531,11,377.853855
0.962031,27,378.207329
0.959219,29,378.504015
0.894531,75,379.386967
0.946562,38,379.81432
0.974688,18,379.993121
0.953594,33,380.355409
0.936719,45,380.885007
0.969063,22,381.120984
0.971875,20,381.306202
0.962031,27,381.623763
0.964844,25,381.918819
0.960625,28,382.274211
0.956406,31,396.465546
0.970469,21,396.632374
0.973281,19,396.790458
0.959219,29,397.098907
0.938125,44,397.480608
0.946562,38,398.023748
0.9775,16,398.181009
0.918438,58,398.892043
0.94375,40,399.348046
0.950781,35,399.756663
0.964844,25,400.114259
0.945156,39,400.619181
0.981719,13,400.78208
0.907188,66,401.391974
0.872031,91,419.230892
0.967656,23,419.554447
0.935312,46,420.211337
0.94375,40,420.810825
0.973281,19,421.087849
0.918438,58,421.82428
0.960625,28,422.232641
0.947969,37,422.965606
0.981719,13,423.153802
0.964844,25,423.536014
0.970469,21,423.834039
0.956406,31,424.314764
0.9325,48,424.913071
0.933906,47,425.609218
0.928281,51,441.43111
0.925469,53,441.973318
0.947969,37,442.342423
0.939531,43,442.775593
0.963437,26,443.037857
0.931094,49,443.529449
0.959219,29,443.859022
0.956406,31,444.169292
0.8425,112,445.369319
0.962031,27,445.703529
0.962031,27,446.022605
0.936719,45,446.569051
0.936719,45,461.582271
0.953594,33,461.882887
0.963437,26,462.135163
0.94375,40,462.544955
0.96625,24,462.779814
0.911406,63,463.322409
0.964844,25,463.530765
0.971875,20,463.697283
0.933906,47,464.088588
0.904375,68,464.683358
0.967656,23,464.910583
0.96625,24,465.118599
0.967656,23,465.314271
0.967656,23,465.525629
0.970469,21,465.708045
0.973281,19,465.873396
0.949375,36,480.053706
0.945156,39,480.464866
0.938125,44,480.94132
0.967656,23,481.151457
0.955,32,481.453898
0.969063,22,481.697868
0.946562,38,482.12333
0.945156,39,482.573081
0.933906,47,483.193133
0.955,32,483.53776
0.953594,33,483.918489
0.969063,22,484.169456
0.974688,18,484.383964
0.970469,21,484.593847
0.862187,98,500.361488
0.970469,21,500.579469
0.957812,30,500.994218
0.957812,30,501.368934
0.960625,28,501.688578
0.971875,20,501.947223
0.952187,34,502.418741
0.978906,15,502.651506
0.960625,28,502.930532
0.969063,22,503.182166
0.953594,33,503.552072
0.936719,45,504.163209
0.963437,26,504.438283
0.969063,22,504.663174
0.960625,28,504.949305
0.956406,31,505.285404
0.967656,23,505.516829
0.978906,15,505.696436
0.956406,31,506.076534
0.960625,28,518.621041
0.973281,19,518.791146
0.964844,25,519.022727
0.956406,31,519.310992
0.964844,25,519.600032
0.953594,33,519.936197
0.956406,31,520.194018
0.960625,28,520.424945
0.955,32,520.69312
0.96625,24,520.893489
0.974688,18,521.036961
0.960625,28,521.259596
0.970469,21,521.429317
0.970469,21,521.603313
0.971875,20,521.773741
0.9775,16,521.908899
0.963437,26,522.124206
0.956406,31,522.395118
0.953594,33,522.658884
0.959219,29,522.893527
0.957812,30,536.335592
0.962031,27,536.584324
0.926875,52,537.206548
0.962031,27,537.49684
0.971875,20,537.722561
0.9775,16,537.891073
0.976094,17,538.092029
0.955,32,538.501934
0.96625,24,538.788357
0.971875,20,539.008454
0.933906,47,539.593697
0.960625,28,539.907798
0.969063,22,540.160162
0.955,32,540.487638
0.969063,22,540.72402
0.967656,23,540.978785
0.963437,26,541.268539
0.971875,20,541.441405
0.953594,33,555.194342
0.962031,27,555.496558
0.9775,16,555.632887
0.959219,29,555.952022
0.963437,26,556.23625
0.959219,29,556.57719
0.973281,19,556.78887
0.970469,21,557.006061
0.96625,24,557.263637
0.952187,34,557.645436
0.981719,13,557.788363
0.969063,22,557.985881
0.967656,23,558.173759
0.971875,20,558.351228
0.970469,21,558.556671
0.960625,28,558.85051
0.973281,19,559.024395
0.964844,25,559.254198
0.964844,25,559.516092
0.969063,22,559.737161
0.946562,38,560.177697
0.983125,12,560.283445
0.963437,26,578.387936
0.973281,19,578.640004
0.973281,19,578.89892
0.955,32,579.31335
0.973281,19,579.61248
0.946562,38,580.044856
0.94375,40,580.659195
0.970469,21,581.019965
0.962031,27,581.396498
0.96625,24,581.707666
0.960625,28,582.333664
0.974688,18,582.534757
0.967656,23,582.834365
0.960625,28,583.263879
0.925469,53,584.001726
0.956406,31,584.35961
0.973281,19,584.593848
0.978906,15,584.815797
0.953594,33,585.22986
0.960625,28,601.609116
0.970469,21,602.014844
0.967656,23,602.292908
0.942344,41,602.819637
0.964844,25,603.058923
0.978906,15,603.212483
0.964844,25,603.478853
0.967656,23,603.695459
0.967656,23,603.950974
0.970469,21,604.224937
0.962031,27,604.510078
0.973281,19,604.750354
0.949375,36,605.25152
0.950781,35,605.601868
0.976094,17,605.784371
0.973281,19,605.978207
0.967656,23,606.264783
0.974688,18,606.427382
0.973281,19,606.699282
0.967656,23,606.9908
0.971875,20,607.228468
0.971875,20,607.434456
0.964844,25,622.425206
0.9775,16,622.667202
0.956406,31,623.033862
0.947969,37,623.583279
0.953594,33,624.146791
0.976094,17,624.364946
0.953594,33,624.778735
0.969063,22,625.168844
0.974688,18,625.449568
0.939531,43,626.045943
0.978906,15,626.244045
0.971875,20,626.500969
0.974688,18,626.737127
0.969063,22,626.989795
0.960625,28,627.407683
0.964844,25,627.732275
0.967656,23,628.069846
0.964844,25,628.414682
0.976094,17,628.684276
0.967656,23,629.013175
0.970469,21,629.311908
0.981719,13,644.294495
0.971875,20,644.53057
0.964844,25,644.843229
0.980313,14,645.021057
0.962031,27,645.35682
0.936719,45,645.839489
0.960625,28,646.154446
0.970469,21,646.406151
0.969063,22,646.635429
0.96625,24,646.906779
0.967656,23,647.164481
0.970469,21,647.375882
0.964844,25,647.611995
0.957812,30,647.963635
0.974688,18,648.170069
0.96625,24,648.456063
0.9775,16,648.633832
0.967656,23,648.914946
0.9775,16,649.110899
0.9775,16,649.303709
0.973281,19,649.51688
0.967656,23,649.859077
0.980313,14,650.057821
0.956406,31,666.525689
0.978906,15,666.671778
0.980313,14,666.792643
0.971875,20,667.032842
0.964844,25,667.28001
0.980313,14,667.465843
0.89875,72,668.233844
0.980313,14,668.367805
0.94375,40,668.785847
0.9775,16,668.948802
0.971875,20,669.161052
0.964844,25,669.394845
0.96625,24,669.654401
0.9775,16,669.831734
0.973281,19,670.04012
0.973281,19,670.261783
0.974688,18,670.453662
0.964844,25,670.702481
0.959219,29,670.982476
0.970469,21,671.186899
0.970469,21,671.416869
0.96625,24,671.675315
0.980313,14,684.361858
0.964844,25,684.569672
0.971875,20,684.724951
0.962031,27,684.959312
0.976094,17,685.099833
0.960625,28,685.340049
0.964844,25,685.561622
0.970469,21,685.729992
0.96625,24,685.916358
0.963437,26,686.128055
0.963437,26,686.335636
0.969063,22,686.520344
0.964844,25,686.715671
0.976094,17,686.849949
0.980313,14,686.964029
0.969063,22,687.14393
0.981719,13,687.245747
0.971875,20,687.403927
0.973281,19,687.552242
0.980313,14,687.66228
0.918438,58,688.131392
0.969063,22,688.323947
0.947969,37,701.788317
0.96625,24,702.093953
0.978906,15,702.278905
0.924063,54,703.059643
0.970469,21,703.367104
0.955,32,703.69574
0.967656,23,704.004916
0.974688,18,704.223253
0.970469,21,704.443287
0.971875,20,704.64322
0.980313,14,704.816902
0.967656,23,705.101208
0.960625,28,705.450926
0.971875,20,705.712938
0.974688,18,705.889937
0.964844,25,706.191879
0.956406,31,706.593981
0.967656,23,706.995529
0.960625,28,707.398033
0.980313,14,707.674883
0.96625,24,707.996215
0.969063,22,723.902604
0.967656,23,724.211823
0.978906,15,724.413695
0.970469,21,724.71134
0.9775,16,724.881453
0.969063,22,725.164719
0.974688,18,725.348758
0.971875,20,725.588396
0.956406,31,726.100333
0.956406,31,726.535107
0.973281,19,726.844566
0.981719,13,726.995422
0.964844,25,727.259678
0.957812,30,727.576723
0.957812,30,727.963485
