#{"t_start": 1746566952.0155442, "env_id": "MiniGrid-DoorKey-8x8-v0"}
r,l,t
0,640,20.652931
0,640,42.569083
0,640,72.429982
0,640,97.938792
0,640,138.214719
0,640,160.168118
0.7525,176,162.521616
0,640,199.243627
0.139375,612,218.700456
0.866406,95,220.01385
0.9325,48,220.784571
0.3925,432,240.705819
0.929688,50,241.352403
0.807344,137,242.951853
0.592187,290,259.54064
0.834062,118,261.104364
0.649844,249,276.516317
0.939531,43,277.060052
0.855156,103,278.439726
0.874844,89,279.584541
0.967656,23,279.871183
0.949375,36,280.338595
0.969063,22,280.605534
0.96625,24,280.994565
0.956406,31,281.518879
0.92125,56,282.39876
0.924063,54,283.31695
0.939531,43,297.099483
0.805937,138,299.035366
0.947969,37,299.487105
0.73,192,302.030231
0.884687,82,303.070465
0.850938,106,319.052225
0.888906,79,319.767901
0.936719,45,320.193395
0.950781,35,320.526852
0.969063,22,320.753177
0.912813,62,321.315418
0.942344,41,321.717875
0.96625,24,321.949265
0.950781,35,322.32485
0.953594,33,322.669025
0.922656,55,337.5649
0.950781,35,338.19735
0.881875,84,339.423544
0.918438,58,340.221593
0.974688,18,340.446113
0.917031,59,341.320147
0.952187,34,341.853485
0.959219,29,342.31148
0.942344,41,342.804592
0.963437,26,343.152059
0.973281,19,343.378589
0.976094,17,343.583861
0.96625,24,343.907425
0.967656,23,344.200072
0.9325,48,358.165331
0.967656,23,358.447016
0.952187,34,358.819129
0.935312,46,359.292339
0.970469,21,359.487502
0.949375,36,359.826075
0.950781,35,360.278056
0.976094,17,360.474304
0.891719,77,361.329383
0.976094,17,361.515233
0.919844,57,362.194161
0.955,32,362.511053
0.9325,48,363.109038
0.960625,28,363.420509
0.94375,40,376.699915
0.962031,27,377.028684
0.933906,47,377.547898
0.938125,44,378.079511
0.9775,16,378.278893
0.952187,34,378.652267
0.938125,44,379.13492
0.957812,30,379.49478
0.922656,55,380.095689
0.960625,28,380.402452
0.953594,33,380.806536
0.915625,60,381.440587
0.957812,30,381.769026
0.939531,43,382.326719
0.945156,39,396.552156
0.908594,65,397.160563
0.935312,46,397.62858
0.94375,40,398.139237
0.942344,41,398.618089
0.963437,26,398.952192
0.964844,25,399.239556
0.963437,26,399.52945
0.933906,47,400.201432
0.911406,63,400.911119
0.931094,49,401.361728
0.900156,71,418.88145
0.933906,47,419.575647
0.931094,49,420.285879
0.947969,37,420.82281
0.946562,38,421.299483
0.973281,19,421.52545
0.926875,52,422.311952
0.950781,35,423.019866
0.953594,33,423.514248
0.935312,46,424.198419
0.870625,92,425.485052
0.959219,29,425.889278
0.94375,40,441.491895
0.915625,60,442.107638
0.929688,50,442.600417
0.969063,22,442.835634
0.918438,58,443.432749
0.959219,29,443.736157
0.960625,28,444.010751
0.919844,57,444.621871
0.912813,62,445.293255
0.959219,29,445.655224
0.945156,39,446.110101
0.895938,74,461.478833
0.962031,27,461.730312
0.935312,46,462.175541
0.964844,25,462.429922
0.964844,25,462.691246
0.973281,19,462.865053
0.895938,74,463.489707
0.956406,31,463.752593
0.969063,22,463.932907
0.957812,30,464.198603
0.950781,35,464.501984
0.960625,28,464.757813
0.967656,23,464.964507
0.94375,40,465.312933
0.904375,68,465.915543
0.957812,30,480.045407
0.96625,24,480.301222
0.962031,27,480.563668
0.981719,13,480.707814
0.959219,29,481.020247
0.8425,112,482.192861
0.981719,13,482.347061
0.856563,102,483.591247
0.971875,20,483.822152
0.971875,20,484.037548
0.886094,81,484.916142
0.964844,25,485.194946
0.969063,22,485.439958
0.947969,37,500.531324
0.942344,41,501.058611
0.960625,28,501.407793
0.959219,29,501.739865
0.960625,28,502.117449
