#{"t_start": 1746566951.976927, "env_id": "MiniGrid-DoorKey-8x8-v0"}
r,l,t
0,640,20.691428
0,640,42.607709
0,640,72.468595
0,640,97.977478
0,640,138.253367
0,640,160.206807
0.506406,351,178.515637
0.587969,293,182.896075
0.385469,437,202.635678
0.564062,310,218.243051
0.755313,174,220.74783
0.772188,162,223.066726
0.811562,134,238.966157
0.71875,200,241.500195
0.717344,201,243.801874
0.235,544,263.842356
0.956406,31,276.410382
0.9325,48,277.037147
0.915625,60,277.853237
0.890313,78,278.842147
0.950781,35,279.296761
0.884687,82,280.355082
0.618906,271,297.71929
0.919844,57,298.542748
0.96625,24,298.854942
0.945156,39,299.355841
0.952187,34,299.771323
0.96625,24,300.073661
0.8875,80,301.140743
0.96625,24,301.435564
0.901563,70,302.422859
0.976094,17,302.601847
0.940937,42,303.135891
0.905781,67,318.648662
0.947969,37,319.090853
0.925469,53,319.576145
0.964844,25,319.793723
0.94375,40,320.178649
0.945156,39,320.54587
0.714531,203,322.538106
0.745469,181,339.348496
0.955,32,339.772194
0.924063,54,340.495295
0.94375,40,341.074399
0.936719,45,341.783158
0.946562,38,342.380918
0.915625,60,343.115873
0.960625,28,343.459692
0.960625,28,343.844416
0.964844,25,344.127695
0.877656,87,358.609662
0.967656,23,358.841631
0.960625,28,359.096804
0.964844,25,359.3728
0.946562,38,359.729818
0.94375,40,360.212714
0.901563,70,361.01411
0.971875,20,361.239673
0.970469,21,361.462714
0.955,32,361.873249
0.945156,39,362.283262
0.969063,22,362.498004
0.955,32,362.860919
0.952187,34,363.29845
0.942344,41,363.755945
0.931094,49,377.141722
0.947969,37,377.559462
0.914219,61,378.297287
0.960625,28,378.605681
0.8875,80,379.525782
0.970469,21,379.770241
0.947969,37,380.150234
0.900156,71,380.973263
0.895938,74,381.77629
0.947969,37,382.251962
0.969063,22,382.488852
0.945156,39,396.688544
0.938125,44,397.124236
0.978906,15,397.24801
0.947969,37,397.584242
0.970469,21,397.899347
0.89875,72,398.774808
0.945156,39,399.244428
0.959219,29,399.568044
0.971875,20,399.819444
0.890313,78,400.842193
0.891719,77,401.550592
0.952187,34,401.876698
0.960625,28,419.043331
0.931094,49,419.750293
0.955,32,420.207675
0.946562,38,420.756492
0.953594,33,421.202365
0.856563,102,422.761843
0.952187,34,423.318514
0.947969,37,423.860103
0.960625,28,424.303931
0.967656,23,424.598008
0.953594,33,425.007219
0.969063,22,425.358619
0.967656,23,425.680431
0.939531,43,441.396019
0.955,32,441.711934
0.924063,54,442.290813
0.962031,27,442.549048
0.960625,28,442.827152
0.959219,29,443.124482
0.94375,40,443.530436
0.908594,65,444.213027
0.9325,48,444.728766
0.955,32,445.087834
0.973281,19,445.287638
0.970469,21,445.521568
0.925469,53,446.158575
0.953594,33,446.555577
0.935312,46,461.588535
0.980313,14,461.710977
0.963437,26,461.960779
0.94375,40,462.349053
0.92125,56,462.903723
0.915625,60,463.409961
0.947969,37,463.724352
0.949375,36,464.023168
0.935312,46,464.434899
0.939531,43,464.817346
0.902969,69,465.427867
0.919844,57,465.929216
0.953594,33,480.084066
0.904375,68,480.796015
0.952187,34,481.140968
0.957812,30,481.409205
0.974688,18,481.616796
0.978906,15,481.80167
0.96625,24,482.060125
0.976094,17,482.245586
0.981719,13,482.399634
0.955,32,482.82258
0.976094,17,483.017888
0.956406,31,483.389741
0.950781,35,483.788947
0.949375,36,484.186253
0.9775,16,484.372399
0.959219,29,484.687011
0.963437,26,484.954812
0.949375,36,485.365154
0.960625,28,500.361818
0.962031,27,500.648247
0.96625,24,500.990625
0.970469,21,501.25828
0.962031,27,501.558596
0.959219,29,501.922378
0.953594,33,502.372176
0.970469,21,502.686145
0.973281,19,502.891386
0.969063,22,503.119785
0.952187,34,503.498814
0.947969,37,503.945242
0.960625,28,504.340821
0.974688,18,504.503645
0.902969,69,505.224279
0.970469,21,505.458107
0.973281,19,505.675522
0.959219,29,506.029348
0.960625,28,518.588572
0.946562,38,518.923025
0.964844,25,519.163076
0.949375,36,519.513918
0.96625,24,519.792681
0.959219,29,520.060184
0.949375,36,520.358814
0.976094,17,520.502355
0.970469,21,520.674014
0.959219,29,520.918331
0.962031,27,521.134833
0.960625,28,521.358562
0.967656,23,521.545911
0.970469,21,521.723955
0.969063,22,521.910327
0.96625,24,522.109988
0.960625,28,522.351329
0.962031,27,522.575046
0.933906,47,536.058956
0.904375,68,536.793797
0.9775,16,536.967746
0.963437,26,537.291327
0.959219,29,537.595032
0.959219,29,537.917319
0.96625,24,538.194922
0.969063,22,538.479298
0.978906,15,538.655274
0.980313,14,538.838991
0.956406,31,539.227782
0.957812,30,539.585541
0.969063,22,539.799545
0.963437,26,540.106469
0.974688,18,540.301695
0.964844,25,540.573131
0.981719,13,540.717334
0.971875,20,540.933965
0.94375,40,541.356314
0.936719,45,555.211244
0.960625,28,555.522598
0.957812,30,555.815377
0.971875,20,556.018171
0.974688,18,556.235554
0.973281,19,556.448169
0.960625,28,556.760543
0.955,32,557.110141
0.970469,21,557.341646
0.96625,24,557.608444
0.964844,25,557.865667
0.980313,14,557.994646
0.949375,36,558.294395
0.960625,28,558.564863
0.973281,19,558.766201
0.956406,31,559.057268
0.969063,22,559.262797
0.963437,26,559.532949
0.962031,27,559.801951
0.960625,28,560.1398
0.949375,36,578.280132
0.963437,26,578.656773
0.984531,11,578.821146
0.969063,22,579.103553
0.96625,24,579.416536
0.971875,20,579.7189
0.950781,35,580.121976
0.963437,26,580.524373
0.962031,27,580.976826
0.963437,26,581.358067
0.947969,37,581.827856
0.967656,23,582.40854
0.964844,25,582.673148
0.970469,21,582.958909
0.985938,10,583.094707
0.96625,24,583.464458
0.978906,15,583.677391
0.931094,49,584.287649
0.981719,13,584.462883
0.962031,27,584.832592
0.970469,21,585.075475
0.962031,27,585.419191
0.967656,23,601.907995
0.973281,19,602.117885
0.976094,17,602.332035
0.957812,30,602.723037
0.963437,26,603.000586
0.962031,27,603.285022
0.953594,33,603.593264
0.960625,28,603.908851
0.960625,28,604.250492
0.960625,28,604.544527
0.949375,36,605.02509
0.971875,20,605.317176
0.978906,15,605.477032
0.964844,25,605.691737
0.978906,15,605.858109
0.939531,43,606.358426
0.967656,23,606.627173
0.976094,17,606.845038
0.967656,23,607.11459
0.959219,29,607.443375
0.971875,20,622.377165
0.974688,18,622.615678
0.963437,26,622.953848
0.974688,18,623.200689
0.976094,17,623.440417
0.957812,30,623.950526
0.970469,21,624.243392
0.978906,15,624.436491
0.973281,19,624.663051
0.970469,21,624.993738
0.962031,27,625.451616
0.969063,22,625.769747
0.952187,34,626.231521
0.952187,34,626.664378
0.96625,24,626.956334
0.980313,14,627.152056
0.959219,29,627.534478
0.964844,25,627.888105
0.970469,21,628.177224
0.959219,29,628.612684
0.96625,24,628.972962
0.981719,13,629.172275
0.971875,20,644.243987
0.959219,29,644.593019
0.971875,20,644.851195
0.96625,24,645.143317
0.967656,23,645.436427
0.963437,26,645.727085
0.976094,17,645.904754
0.969063,22,646.149133
0.955,32,646.500343
0.967656,23,646.766731
0.96625,24,646.990922
0.974688,18,647.223095
0.960625,28,647.496699
0.963437,26,647.745405
0.955,32,648.142857
0.981719,13,648.300105
0.970469,21,648.550013
0.9775,16,648.715687
0.963437,26,649.048274
0.9775,16,649.226344
0.973281,19,649.456706
0.970469,21,649.698049
0.976094,17,650.001274
0.959219,29,666.465741
0.978906,15,666.613362
0.974688,18,666.775523
0.978906,15,666.922338
0.970469,21,667.182952
0.971875,20,667.385189
0.96625,24,667.67694
0.976094,17,667.855905
0.971875,20,668.074647
0.967656,23,668.296228
0.962031,27,668.57806
0.962031,27,668.856681
0.970469,21,669.074446
0.981719,13,669.212988
0.963437,26,669.46549
0.971875,20,669.671232
0.978906,15,669.828182
0.976094,17,670.022986
0.971875,20,670.249934
0.981719,13,670.400487
0.952187,34,670.747897
0.962031,27,670.999355
0.978906,15,671.135345
0.969063,22,671.35683
0.949375,36,684.314325
0.956406,31,684.57785
0.980313,14,684.688045
0.978906,15,684.819748
0.964844,25,685.024927
0.969063,22,685.206968
0.962031,27,685.442908
0.969063,22,685.63604
0.983125,12,685.730982
0.964844,25,685.924393
0.963437,26,686.137068
0.963437,26,686.344309
0.973281,19,686.502297
0.964844,25,686.7009
0.960625,28,686.925453
0.96625,24,687.11665
0.963437,26,687.325247
0.962031,27,687.539775
0.956406,31,687.783368
0.96625,24,687.975505
0.969063,22,688.155771
0.953594,33,688.437299
0.976094,17,701.735889
0.955,32,702.110823
0.973281,19,702.348251
0.980313,14,702.570667
0.976094,17,702.869295
0.967656,23,703.141344
0.974688,18,703.394919
0.974688,18,703.586783
0.980313,14,703.722128
0.981719,13,703.886281
0.973281,19,704.14021
0.971875,20,704.373392
0.983125,12,704.490716
0.978906,15,704.644075
0.976094,17,704.842006
0.973281,19,705.090807
0.96625,24,705.377293
0.980313,14,705.570806
0.964844,25,705.858369
0.970469,21,706.094805
0.960625,28,706.401632
0.980313,14,706.623535
0.971875,20,706.988427
0.967656,23,707.342268
0.973281,19,707.655323
0.929688,50,723.9604
0.971875,20,724.201456
0.974688,18,724.450635
0.959219,29,724.830049
0.978906,15,725.004231
0.974688,18,725.226495
0.973281,19,725.467722
0.974688,18,725.656916
0.969063,22,726.009497
0.9775,16,726.265897
0.952187,34,726.763702
0.974688,18,727.012305
0.9775,16,727.176914
0.969063,22,727.412995
0.978906,15,727.570964
0.9775,16,727.797709
0.962031,27,728.096465
0.935312,46,728.812535
0.970469,21,729.098178
0.96625,24,729.414347
0.980313,14,729.629535
0.976094,17,729.824208
0.967656,23,730.196109
0.969063,22,730.480683
0.960625,28,745.94836
0.967656,23,746.283704
0.974688,18,746.494106
0.974688,18,746.771662
0.9775,16,747.0115
0.970469,21,747.358841
0.978906,15,747.573402
0.978906,15,747.731322
0.973281,19,748.025722
0.956406,31,748.465266
0.971875,20,748.735814
0.949375,36,749.253801
0.963437,26,749.558314
0.967656,23,749.863043
0.9775,16,750.116287
0.963437,26,750.446092
0.967656,23,750.778842
0.967656,23,751.083337
0.980313,14,751.280807
0.980313,14,751.483913
0.978906,15,751.637327
0.976094,17,751.808094
0.976094,17,751.998151
0.964844,25,752.424327
0.981719,13,752.603801
0.96625,24,766.179333
0.974688,18,766.364646
0.974688,18,766.566558
0.980313,14,766.69983
0.970469,21,766.93989
0.970469,21,767.190905
0.973281,19,767.378815
0.962031,27,767.717596
0.981719,13,767.861105
0.978906,15,768.050552
0.969063,22,768.269598
0.976094,17,768.449819
0.971875,20,768.663946
0.978906,15,768.847719
0.978906,15,769.000468
0.971875,20,769.206599
0.971875,20,769.412831
0.973281,19,769.593379
0.980313,14,769.724907
0.976094,17,769.888687
0.971875,20,770.055499
0.974688,18,770.246448
0.973281,19,770.435383
0.9775,16,770.601029
0.969063,22,770.819757
0.9775,16,770.975224
0.981719,13,771.093212
0.969063,22,771.329229
0.969063,22,786.225687
0.952187,34,786.513414
0.970469,21,786.69376
0.971875,20,786.904039
0.9775,16,787.054827
0.978906,15,787.262924
0.976094,17,787.40598
0.9775,16,787.543317
0.973281,19,787.736856
0.980313,14,787.866008
0.9775,16,788.005901
0.974688,18,788.176233
0.967656,23,788.398851
0.969063,22,788.598055
0.959219,29,788.872306
0.964844,25,789.13695
0.976094,17,789.286533
0.983125,12,789.418325
0.969063,22,789.653731
0.970469,21,789.862548
0.9775,16,790.023994
0.978906,15,790.150841
0.971875,20,790.311344
0.973281,19,790.491336
0.978906,15,790.629217
0.985938,10,790.719228
0.976094,17,790.87969
0.96625,24,804.440274
0.978906,15,804.564502
0.969063,22,804.847746
0.976094,17,805.005675
0.970469,21,805.252869
0.971875,20,805.520082
0.969063,22,805.79001
0.974688,18,806.036829
0.976094,17,806.187774
0.967656,23,806.395667
0.969063,22,806.585466
0.987344,9,806.672318
0.976094,17,806.800068
0.973281,19,806.968115
0.973281,19,807.185146
0.973281,19,807.334992
0.976094,17,807.508642
0.983125,12,807.691249
0.96625,24,807.9317
0.978906,15,808.093803
0.976094,17,808.295356
0.978906,15,808.450194
0.964844,25,808.716794
0.960625,28,809.10827
0.957812,30,809.43663
0.960625,28,809.79639
0.96625,24,825.177327
0.9775,16,825.362539
0.974688,18,825.519789
0.978906,15,825.640949
0.980313,14,825.759875
0.964844,25,826.086921
0.959219,29,826.409544
0.969063,22,826.612919
0.974688,18,826.771872
0.967656,23,827.003365
0.960625,28,827.278483
0.963437,26,827.54308
0.981719,13,827.674394
0.980313,14,827.814256
0.971875,20,828.014159
0.967656,23,828.269733
0.976094,17,828.441202
0.974688,18,828.671746
0.96625,24,828.931251
0.981719,13,829.067924
0.9775,16,829.21791
0.971875,20,829.398626
0.9775,16,829.558686
0.970469,21,829.750005
0.970469,21,829.966634
0.969063,22,830.191419
0.962031,27,845.801096
0.9775,16,845.93896
0.970469,21,846.123258
0.970469,21,846.317375
0.980313,14,846.440769
0.980313,14,846.559702
0.978906,15,846.730491
0.956406,31,847.12768
0.9775,16,847.306947
0.969063,22,847.522142
0.976094,17,847.680208
0.978906,15,847.815321
0.931094,49,848.231319
0.929688,50,848.643411
0.971875,20,848.827568
0.970469,21,849.007635
0.962031,27,849.239974
0.970469,21,849.420985
0.931094,49,849.859341
0.980313,14,849.979716
0.971875,20,850.151833
0.971875,20,865.292859
0.9775,16,865.48639
0.912813,62,866.159189
0.962031,27,866.492376
0.960625,28,866.787258
0.974688,18,866.991725
0.953594,33,867.410393
0.959219,29,867.789723
0.974688,18,867.969044
0.974688,18,868.186216
0.983125,12,868.316537
0.967656,23,868.593703
0.967656,23,868.852551
0.962031,27,869.136099
0.963437,26,869.411738
0.960625,28,869.706353
0.946562,38,870.14548
0.960625,28,870.470855
0.9775,16,870.63133
0.96625,24,870.974867
0.967656,23,885.239736
0.967656,23,885.479907
0.945156,39,885.870878
0.971875,20,886.045886
0.973281,19,886.236798
0.967656,23,886.44602
0.960625,28,886.699652
0.969063,22,886.924722
0.928281,51,887.422444
0.978906,15,887.568584
0.964844,25,887.814338
0.970469,21,888.029714
0.950781,35,888.351475
0.957812,30,888.594391
0.950781,35,888.960362
0.971875,20,889.165846
0.969063,22,889.378211
0.970469,21,889.617001
0.973281,19,889.819745
0.974688,18,890.00231
0.96625,24,907.072254
0.962031,27,907.445618
0.973281,19,907.727958
0.963437,26,908.17043
0.970469,21,908.448282
0.96625,24,908.702462
0.971875,20,908.919535
0.969063,22,909.161283
0.974688,18,909.340624
0.953594,33,909.670074
0.9775,16,909.834329
0.96625,24,910.123101
0.960625,28,910.434842
0.957812,30,910.831924
0.967656,23,911.042373
0.974688,18,911.231857
0.976094,17,911.382802
0.950781,35,911.75152
0.974688,18,911.971338
0.963437,26,912.268629
0.9775,16,912.442209
0.974688,18,912.60643
0.973281,19,912.814555
0.970469,21,929.949069
0.967656,23,930.146145
0.973281,19,930.302219
0.967656,23,930.496146
0.983125,12,930.602318
0.973281,19,930.785278
0.973281,19,930.972825
0.978906,15,931.099446
0.96625,24,931.302967
0.974688,18,931.450573
0.969063,22,931.6279
0.963437,26,931.862596
0.973281,19,932.055062
0.962031,27,932.291423
0.974688,18,932.507299
0.974688,18,932.730122
0.981719,13,932.885261
0.976094,17,933.033289
0.980313,14,933.161927
0.973281,19,933.323505
0.976094,17,933.474545
0.969063,22,933.689209
0.976094,17,933.846053
0.967656,23,934.045029
0.974688,18,934.239222
0.980313,14,934.347952
0.981719,13,934.458933
0.969063,22,949.409121
0.973281,19,949.570856
0.971875,20,949.737145
0.976094,17,949.884005
0.971875,20,950.05805
0.964844,25,950.25308
0.9775,16,950.391258
0.974688,18,950.543917
0.974688,18,950.686715
0.974688,18,950.831477
0.964844,25,951.029475
0.983125,12,951.135236
0.9775,16,951.279275
0.971875,20,951.438411
0.971875,20,951.595174
0.980313,14,951.704791
0.983125,12,951.805632
0.973281,19,951.964626
0.983125,12,952.059839
0.980313,14,952.176045
0.96625,24,952.371767
0.964844,25,952.568606
0.974688,18,952.708104
0.974688,18,952.861253
0.974688,18,953.005281
0.960625,28,953.241499
0.969063,22,953.437089
0.980313,14,967.433169
0.976094,17,967.586984
0.964844,25,967.805089
0.971875,20,967.98539
0.973281,19,968.161069
0.969063,22,968.351184
0.970469,21,968.544127
0.967656,23,968.734813
0.970469,21,968.928673
0.971875,20,969.092617
0.978906,15,969.216191
0.973281,19,969.382123
0.969063,22,969.571428
0.970469,21,969.735444
0.9775,16,969.894694
0.978906,15,970.039272
0.964844,25,970.281891
0.970469,21,970.484305
0.970469,21,970.684835
0.963437,26,970.909203
0.970469,21,971.087919
0.971875,20,971.254782
0.976094,17,971.388614
0.973281,19,971.543751
0.980313,14,971.656416
0.976094,17,971.795338
0.974688,18,986.129915
0.974688,18,986.291942
0.964844,25,986.502011
0.9775,16,986.63878
0.969063,22,986.830746
0.980313,14,986.954355
0.974688,18,987.115702
0.970469,21,987.307582
0.978906,15,987.434434
0.980313,14,987.5469
0.978906,15,987.682811
0.9775,16,987.84688
0.970469,21,988.057811
0.963437,26,988.29102
0.978906,15,988.432292
0.964844,25,988.674706
0.976094,17,988.862257
0.978906,15,988.992744
0.978906,15,989.138962
0.973281,19,989.299084
0.964844,25,989.528924
0.981719,13,989.658582
0.9775,16,989.802468
0.976094,17,989.960794
0.978906,15,990.085582
0.970469,21,990.256352
0.969063,22,990.459321
0.974688,18,990.64157
0.9775,16,1004.945844
0.973281,19,1005.128015
0.971875,20,1005.345618
0.971875,20,1005.594316
0.983125,12,1005.708554
0.950781,35,1006.045027
0.978906,15,1006.180206
0.978906,15,1006.358925
0.971875,20,1006.578923
0.973281,19,1006.746707
0.974688,18,1006.924602
0.973281,19,1007.141709
0.964844,25,1007.39274
0.976094,17,1007.587201
0.974688,18,1007.768913
0.962031,27,1008.027399
0.976094,17,1008.203063
0.973281,19,1008.415802
0.969063,22,1008.593813
0.9775,16,1008.75828
0.9775,16,1008.906706
0.983125,12,1009.020549
0.9775,16,1009.173081
0.970469,21,1009.353837
0.980313,14,1009.472162
0.970469,21,1009.644975
0.974688,18,1009.815655
0.969063,22,1023.423807
0.976094,17,1023.614176
0.971875,20,1023.819774
0.964844,25,1024.131352
0.971875,20,1024.354222
0.978906,15,1024.530668
0.980313,14,1024.704878
0.981719,13,1024.857081
0.983125,12,1024.967942
0.969063,22,1025.161552
0.980313,14,1025.346448
0.969063,22,1025.557631
0.973281,19,1025.776051
0.964844,25,1026.04473
0.969063,22,1026.283031
0.976094,17,1026.442805
0.973281,19,1026.652974
0.969063,22,1026.860349
0.976094,17,1027.038361
0.9775,16,1027.212227
0.978906,15,1027.335572
0.974688,18,1027.505481
0.984531,11,1027.632756
0.974688,18,1027.838189
0.981719,13,1027.964237
0.974688,18,1028.157622
0.963437,26,1028.430542
0.974688,18,1028.629041
0.974688,18,1028.839954
0.96625,24,1042.436277
0.970469,21,1042.599591
0.971875,20,1042.769833
0.971875,20,1042.938421
0.967656,23,1043.203549
0.970469,21,1043.433543
0.971875,20,1043.621184
0.976094,17,1043.760332
0.96625,24,1043.95606
0.9775,16,1044.081857
0.964844,25,1044.289275
0.967656,23,1044.469164
0.976094,17,1044.605652
0.978906,15,1044.756274
0.980313,14,1044.906953
0.976094,17,1045.067699
