#{"t_start": 1746566952.023341, "env_id": "MiniGrid-DoorKey-8x8-v0"}
r,l,t
0,640,20.645045
0,640,42.561255
0,640,72.422256
0,640,97.931229
0,640,138.207121
0,640,160.1605
0,640,182.800785
0.746875,180,199.289277
0.416406,415,204.569277
0.83125,120,217.749225
0.5725,304,221.998909
0.874844,89,223.412518
0.821406,127,239.101707
0.680781,227,241.931578
0.900156,71,242.76735
0.80875,136,257.216515
0.970469,21,257.505718
0.700469,213,260.412304
0.749688,178,262.688919
0.857969,101,276.190858
0.955,32,276.620437
0.229375,548,297.567335
0.973281,19,297.802503
0.85375,104,299.226004
0.950781,35,299.662086
0.881875,84,300.740116
0.893125,76,301.76737
0.936719,45,302.394867
0.824219,125,318.615695
0.935312,46,319.138815
0.922656,55,319.635604
0.547187,322,322.767777
0.866406,95,338.450846
0.967656,23,338.787499
0.929688,50,339.479656
0.962031,27,339.845374
0.949375,36,340.332277
0.964844,25,340.609718
0.957812,30,341.109312
0.96625,24,341.477707
0.964844,25,341.916554
0.897344,73,342.862398
0.946562,38,343.362412
0.94375,40,343.871627
0.955,32,344.2723
0.949375,36,358.109743
0.950781,35,358.530883
0.883281,83,359.369957
0.969063,22,359.564548
0.957812,30,359.907903
0.942344,41,360.397465
0.970469,21,360.633943
0.9775,16,360.813419
0.96625,24,361.096511
0.973281,19,361.29598
0.955,32,361.658107
0.967656,23,361.950448
0.985938,10,362.067431
0.931094,49,362.557284
0.956406,31,362.942595
0.956406,31,363.318615
0.915625,60,376.833908
0.952187,34,377.189183
0.924063,54,377.832535
0.953594,33,378.239453
0.974688,18,378.427859
0.952187,34,378.808103
0.950781,35,379.230061
0.963437,26,379.516506
0.962031,27,379.839458
0.96625,24,380.078411
0.905781,67,380.855531
0.939531,43,381.284997
0.971875,20,381.52912
0.939531,43,382.057141
0.935312,46,396.427707
0.964844,25,396.626533
0.946562,38,397.002957
0.92125,56,397.500595
0.971875,20,397.773205
0.959219,29,398.151552
0.970469,21,398.430444
0.953594,33,398.817776
0.956406,31,399.176337
0.96625,24,399.441303
0.959219,29,399.799608
0.955,32,400.282556
0.939531,43,400.783405
0.953594,33,401.082541
0.938125,44,401.495365
0.9775,16,401.653064
0.904375,68,419.312886
0.931094,49,420.005768
0.931094,49,420.710088
0.888906,79,421.769771
0.969063,22,422.088545
0.962031,27,422.573764
0.963437,26,423.063339
0.967656,23,423.401709
0.947969,37,423.945168
0.978906,15,424.180902
0.89875,72,425.148465
0.924063,54,425.917096
0.973281,19,426.164643
0.900156,71,442.051326
0.94375,40,442.444054
0.946562,38,442.827969
0.96625,24,443.069782
0.974688,18,443.244439
0.949375,36,443.631389
0.962031,27,443.914324
0.962031,27,444.184065
0.973281,19,444.394336
0.955,32,444.749498
0.960625,28,445.058769
0.936719,45,445.553687
0.957812,30,445.889034
0.947969,37,446.333339
0.960625,28,446.685807
0.956406,31,461.54213
0.959219,29,461.798963
0.953594,33,462.122596
0.953594,33,462.45566
0.949375,36,462.81058
0.973281,19,462.977784
0.959219,29,463.2251
0.946562,38,463.543887
0.971875,20,463.713424
0.967656,23,463.900104
0.964844,25,464.11132
0.952187,34,464.420858
0.962031,27,464.645443
0.945156,39,465.008866
0.970469,21,465.186257
0.962031,27,465.438275
0.918438,58,465.945945
0.953594,33,480.105791
0.952187,34,480.460104
0.94375,40,480.901538
0.925469,53,481.385427
0.970469,21,481.630944
0.969063,22,481.880408
0.9325,48,482.415024
0.945156,39,482.932222
