#{"t_start": 1746566951.980306, "env_id": "MiniGrid-DoorKey-8x8-v0"}
r,l,t
0,640,20.688208
0,640,42.604323
0,640,72.465256
0,640,97.974313
0.3925,432,119.406574
0,640,156.596653
0.282813,510,177.586207
0.807344,137,179.783371
0.258906,527,201.176353
0.87625,88,202.313192
0.780625,156,204.282137
0.663906,239,218.973275
0.303906,495,240.004987
0.828437,122,241.55975
0.412188,418,259.620147
0.9325,48,260.253
0.96625,24,260.593333
0.950781,35,261.069059
0.956406,31,261.432985
0.925469,53,262.104252
0.658281,243,277.451248
0.9325,48,278.135634
0.955,32,278.549141
0.793281,147,280.442179
0.928281,51,281.177401
0.863594,97,282.710114
0.912813,62,296.844219
0.964844,25,297.257105
0.905781,67,298.260781
0.931094,49,298.912118
0.907188,66,299.725135
0.618906,271,303.291236
0.942344,41,318.46341
0.949375,36,318.887067
0.925469,53,319.424749
0.905781,67,320.048068
0.925469,53,320.54265
0.933906,47,321.000246
0.974688,18,321.161634
0.908594,65,321.78197
0.907188,66,322.465304
0.917031,59,323.058748
0.915625,60,338.309047
0.803125,140,340.313784
0.949375,36,340.732748
0.964844,25,341.15236
0.949375,36,341.715512
0.967656,23,342.08858
0.947969,37,342.615702
0.953594,33,342.995474
0.905781,67,343.865474
0.945156,39,344.342647
0.888906,79,358.69757
0.964844,25,358.927828
0.926875,52,359.46384
0.949375,36,359.796204
0.976094,17,360.031321
0.939531,43,360.548221
0.964844,25,360.816599
0.949375,36,361.223177
0.955,32,361.561957
0.964844,25,361.900994
0.952187,34,362.259356
0.96625,24,362.494685
0.947969,37,362.932294
0.973281,19,363.184756
0.939531,43,363.670062
0.957812,30,376.837165
0.918438,58,377.490894
0.964844,25,377.759737
0.947969,37,378.249066
0.957812,30,378.563881
0.897344,73,379.419852
0.970469,21,379.641426
0.962031,27,379.947366
0.964844,25,380.217366
0.964844,25,380.487284
0.969063,22,380.717353
0.950781,35,381.143137
0.949375,36,381.523948
0.967656,23,381.781351
0.94375,40,382.287771
0.928281,51,396.638234
0.960625,28,396.919433
0.939531,43,397.293623
0.938125,44,397.779627
0.970469,21,398.08694
0.925469,53,398.687741
0.980313,14,398.886532
0.94375,40,399.338303
0.969063,22,399.590141
0.967656,23,399.876354
0.912813,62,400.699578
0.926875,52,401.199474
0.953594,33,401.520386
0.945156,39,401.896377
0.967656,23,418.990575
0.969063,22,419.331539
0.970469,21,419.611004
0.96625,24,419.960851
0.969063,22,420.264995
0.960625,28,420.688097
0.955,32,421.147264
0.970469,21,421.370131
0.952187,34,421.848998
0.922656,55,422.826804
0.940937,42,423.46506
0.933906,47,424.17858
0.9775,16,424.415004
0.894531,75,425.44834
0.963437,26,425.819682
0.952187,34,441.382366
0.963437,26,441.643102
0.945156,39,442.067712
0.953594,33,442.384949
0.945156,39,442.772747
0.924063,54,443.321101
0.955,32,443.665378
0.919844,57,444.24871
0.918438,58,444.900349
0.962031,27,445.186836
0.953594,33,445.535531
0.912813,62,446.284217
0.967656,23,446.565301
0.936719,45,461.585251
0.976094,17,461.733333
0.926875,52,462.231927
0.967656,23,462.465295
0.917031,59,463.030643
0.952187,34,463.318948
0.939531,43,463.673325
0.953594,33,463.952589
0.929688,50,464.395728
0.940937,42,464.76139
0.925469,53,465.22931
0.980313,14,465.35718
0.971875,20,465.539211
0.96625,24,465.745768
0.928281,51,480.058147
0.917031,59,480.673723
0.956406,31,481.011905
0.978906,15,481.148189
0.955,32,481.442245
0.956406,31,481.807823
0.962031,27,482.094896
0.945156,39,482.545106
0.929688,50,483.196046
0.96625,24,483.457256
0.971875,20,483.688609
0.894531,75,484.518797
0.938125,44,484.986663
0.945156,39,485.442819
0.963437,26,500.399754
0.963437,26,500.7096
0.956406,31,501.102618
0.959219,29,501.460957
0.973281,19,501.694094
0.96625,24,501.997551
0.971875,20,502.248057
0.9775,16,502.52887
0.962031,27,502.851039
0.950781,35,503.227288
0.949375,36,503.634757
0.974688,18,503.834197
0.978906,15,504.05786
0.9775,16,504.291222
0.956406,31,504.589626
0.969063,22,504.819898
0.942344,41,505.251998
0.964844,25,505.506692
0.950781,35,505.931347
0.962031,27,518.510688
0.970469,21,518.695483
0.963437,26,518.928814
0.950781,35,519.258956
0.971875,20,519.450541
0.967656,23,519.718442
0.947969,37,520.073314
0.94375,40,520.403938
0.947969,37,520.714932
0.959219,29,520.955775
0.962031,27,521.173078
0.945156,39,521.484172
0.949375,36,521.787339
0.976094,17,521.930723
0.980313,14,522.047665
0.950781,35,522.348078
0.883281,83,536.168157
0.976094,17,536.358249
0.9775,16,536.502832
0.970469,21,536.72662
0.974688,18,536.91879
0.980313,14,537.100472
0.970469,21,537.351042
0.959219,29,537.655972
0.964844,25,537.935328
0.969063,22,538.191589
0.973281,19,538.433035
0.973281,19,538.660618
0.9775,16,538.87813
0.962031,27,539.215881
0.942344,41,539.681243
0.9775,16,539.855563
0.952187,34,540.24068
0.969063,22,540.472451
0.963437,26,540.751458
0.964844,25,541.016294
0.955,32,541.360664
0.971875,20,541.531521
0.967656,23,555.193782
0.960625,28,555.510194
0.9775,16,555.646434
0.973281,19,555.857566
0.969063,22,556.083668
0.949375,36,556.498182
0.963437,26,556.802435
0.963437,26,557.078979
0.957812,30,557.399102
0.967656,23,557.659123
0.976094,17,557.83394
0.976094,17,557.991383
0.963437,26,558.203826
0.962031,27,558.449767
0.974688,18,558.631898
0.976094,17,558.825827
0.950781,35,559.132787
0.976094,17,559.291221
0.970469,21,559.520139
0.962031,27,559.78976
0.9775,16,559.998721
0.981719,13,560.136516
0.957812,30,560.43835
0.976094,17,578.467292
0.964844,25,578.795952
0.967656,23,579.100282
0.973281,19,579.336478
0.957812,30,579.769873
0.974688,18,579.963899
0.967656,23,580.303678
0.946562,38,580.906947
0.969063,22,581.238117
0.9775,16,581.445176
0.967656,23,581.751331
0.96625,24,582.315587
0.964844,25,582.629624
0.96625,24,582.939007
0.973281,19,583.210603
0.971875,20,583.505775
0.925469,53,584.212258
0.960625,28,584.550979
0.96625,24,584.880305
0.946562,38,585.350808
0.981719,13,601.460426
0.971875,20,601.953148
0.971875,20,602.1918
0.959219,29,602.566095
0.955,32,602.942095
0.964844,25,603.187219
0.973281,19,603.395592
0.947969,37,603.736236
0.973281,19,603.956679
0.970469,21,604.219977
0.960625,28,604.523678
0.978906,15,604.708625
0.969063,22,604.999792
0.953594,33,605.440695
0.971875,20,605.615556
0.967656,23,605.854887
0.973281,19,606.071895
0.967656,23,606.346198
0.971875,20,606.55419
0.974688,18,606.817451
0.970469,21,607.055429
0.967656,23,607.326359
0.942344,41,622.493446
0.984531,11,622.67199
0.969063,22,622.936769
0.969063,22,623.244071
0.962031,27,623.615274
0.978906,15,623.892611
0.978906,15,624.151936
0.969063,22,624.420649
0.967656,23,624.706043
0.974688,18,624.990456
0.978906,15,625.256708
0.971875,20,625.575703
0.974688,18,625.818799
0.971875,20,626.075812
0.960625,28,626.451727
0.973281,19,626.701335
0.955,32,627.115021
0.971875,20,627.400161
0.971875,20,627.664098
0.976094,17,627.884921
0.967656,23,628.215958
0.974688,18,628.472038
0.973281,19,628.748051
0.964844,25,629.146916
0.96625,24,644.261292
0.963437,26,644.581074
0.971875,20,644.837493
0.96625,24,645.130596
0.974688,18,645.36076
0.973281,19,645.588024
0.980313,14,645.731749
0.959219,29,646.03862
0.976094,17,646.241298
0.962031,27,646.521816
0.969063,22,646.784028
0.973281,19,646.966034
0.974688,18,647.185954
0.952187,34,647.522242
0.971875,20,647.712922
0.973281,19,647.949762
0.967656,23,648.224167
0.969063,22,648.486161
0.973281,19,648.695437
0.962031,27,649.027132
0.971875,20,649.270305
0.963437,26,649.576219
0.959219,29,650.0139
0.933906,47,666.648807
0.970469,21,666.830687
0.967656,23,667.116713
0.967656,23,667.349159
0.974688,18,667.577176
0.978906,15,667.732319
0.935312,46,668.215581
0.973281,19,668.398485
0.967656,23,668.644239
0.973281,19,668.843456
0.963437,26,669.117815
0.970469,21,669.315359
0.955,32,669.653046
0.962031,27,669.947889
0.96625,24,670.215117
0.962031,27,670.509792
