#{"t_start": 1746566951.986538, "env_id": "MiniGrid-DoorKey-8x8-v0"}
r,l,t
0,640,20.681955
0,640,42.598181
0,640,72.45922
0.467031,379,93.609115
0.438906,399,114.511837
0,640,139.799582
0.92125,56,140.493041
0.265937,522,161.249964
0.630156,263,178.345193
0.609063,278,182.457589
0,640,204.902319
0.824219,125,218.12975
0.872031,91,219.325245
0.755313,174,221.81795
0.838281,115,223.66982
0.959219,29,224.094881
0.947969,37,238.528968
0.841094,113,239.952722
0.918438,58,240.68184
0.69625,216,243.230928
0.769375,164,258.220995
0.46,384,263.285846
0.962031,27,263.586322
0.869219,93,277.011001
0.902969,69,277.957685
0.897344,73,278.86381
0.87625,88,280.01855
0.942344,41,280.538222
0.925469,53,281.36517
0.922656,55,282.275703
0.942344,41,282.859606
0.926875,52,296.838151
0.911406,63,297.809498
0.956406,31,298.281566
0.946562,38,298.782978
0.912813,62,299.542981
0.834062,118,301.098389
0.942344,41,301.625246
0.969063,22,301.951243
0.893125,76,302.909426
0.904375,68,318.457268
0.953594,33,318.843684
0.949375,36,319.24404
0.96625,24,319.457142
0.962031,27,319.698454
0.804531,139,321.022442
0.925469,53,321.511766
0.953594,33,321.833205
0.952187,34,322.169694
0.953594,33,322.528571
0.959219,29,322.827953
0.9325,48,337.691076
0.918438,58,338.709753
0.949375,36,339.205563
0.919844,57,339.959807
0.957812,30,340.369192
0.962031,27,340.68125
0.947969,37,341.299124
0.950781,35,341.860699
0.94375,40,342.471002
0.953594,33,342.842281
0.952187,34,343.280253
0.950781,35,343.739734
0.956406,31,344.108675
0.935312,46,344.716824
0.952187,34,358.494124
0.969063,22,358.733325
0.929688,50,359.245097
0.956406,31,359.539651
0.9775,16,359.691746
0.925469,53,360.317194
0.96625,24,360.597834
0.942344,41,361.071641
0.976094,17,361.24725
0.947969,37,361.652622
0.970469,21,361.94397
0.949375,36,362.308577
0.946562,38,362.687573
0.973281,19,362.960191
0.950781,35,363.370439
0.959219,29,363.701041
0.931094,49,377.096856
0.939531,43,377.577055
0.925469,53,378.234304
0.962031,27,378.511523
0.957812,30,378.844956
0.947969,37,379.283007
0.926875,52,379.887182
0.950781,35,380.244294
0.962031,27,380.53588
0.957812,30,380.908086
0.940937,42,381.333018
0.976094,17,381.550287
0.914219,61,382.281628
0.973281,19,382.490432
