#{"t_start": 1746566951.980142, "env_id": "MiniGrid-DoorKey-8x8-v0"}
r,l,t
0,640,20.688037
0,640,42.60442
0,640,72.465352
0,640,97.974139
0,640,138.250011
0,640,160.203429
0.897344,73,161.21445
0.938125,44,161.78275
0.407969,421,181.20261
0.700469,213,184.64536
0.818594,129,200.089977
0,640,220.008457
0.828437,122,221.768477
0.663906,239,239.227411
0.893125,76,240.177159
0.405156,423,258.242432
0.940937,42,258.784888
0.794687,146,260.749473
0.7525,176,263.081674
0.926875,52,263.683076
0.940937,42,276.415886
0.947969,37,276.938435
0.973281,19,277.155984
0.787656,151,279.129936
0.970469,21,279.411905
0.893125,76,280.396844
0.672344,233,297.190516
0.905781,67,298.202712
0.319375,484,319.087567
0.955,32,319.381472
0.952187,34,319.687212
0.942344,41,320.078065
0.94375,40,320.43686
0.929688,50,320.937497
0.888906,79,321.676598
0.850938,106,322.76065
0.865,96,338.423562
0.960625,28,338.839383
0.901563,70,339.7944
0.967656,23,340.163548
0.883281,83,341.305255
0.947969,37,341.888731
0.908594,65,342.786031
0.952187,34,343.222548
0.915625,60,343.982559
0.980313,14,344.138384
0.869219,93,358.680888
0.950781,35,358.993458
0.952187,34,359.36944
0.924063,54,359.892849
0.955,32,360.303313
0.939531,43,360.791432
0.960625,28,361.110734
0.974688,18,361.300545
0.950781,35,361.701096
0.969063,22,361.984542
0.939531,43,362.424869
0.938125,44,362.932189
0.967656,23,363.227374
0.859375,100,377.179312
0.964844,25,377.460293
0.931094,49,378.036936
0.914219,61,378.751121
0.936719,45,379.273126
0.929688,50,379.845478
0.970469,21,380.054647
0.973281,19,380.271006
0.970469,21,380.495419
0.955,32,380.887401
0.952187,34,381.236963
0.964844,25,381.513267
0.957812,30,381.847412
0.957812,30,382.248622
0.960625,28,396.411523
0.926875,52,396.863142
0.960625,28,397.146297
0.964844,25,397.35183
0.970469,21,397.552834
0.969063,22,397.860896
0.945156,39,398.375943
0.918438,58,399.055081
0.960625,28,399.371132
0.939531,43,399.888626
0.949375,36,400.428341
0.901563,70,401.142351
0.960625,28,401.405548
0.953594,33,401.722006
0.974688,18,401.896342
0.884687,82,419.861281
0.929688,50,420.593094
0.939531,43,421.172906
0.952187,34,421.560771
0.960625,28,421.973861
0.9325,48,422.884885
0.964844,25,423.254613
0.925469,53,424.045032
0.96625,24,424.414964
0.947969,37,424.866559
0.962031,27,425.244893
0.929688,50,425.974491
0.936719,45,441.620188
0.94375,40,442.058848
0.922656,55,442.59046
0.926875,52,443.12112
0.945156,39,443.518046
0.91,64,444.192306
0.947969,37,444.592272
0.952187,34,444.962536
0.956406,31,445.29377
0.945156,39,445.76215
0.963437,26,446.066112
0.967656,23,446.330208
0.946562,38,446.788813
0.952187,34,461.656936
0.925469,53,462.157217
0.962031,27,462.423515
0.952187,34,462.775745
0.92125,56,463.25812
0.96625,24,463.457349
0.925469,53,463.902519
0.974688,18,464.054183
0.933906,47,464.472234
0.891719,77,465.155964
0.971875,20,465.327892
0.970469,21,465.523125
0.956406,31,465.788138
0.942344,41,480.01122
0.967656,23,480.252682
0.935312,46,480.718918
0.963437,26,481.011894
0.962031,27,481.269468
0.936719,45,481.734229
0.942344,41,482.183202
0.969063,22,482.440962
0.963437,26,482.794015
0.935312,46,483.349793
0.970469,21,483.577913
0.940937,42,484.049916
0.945156,39,484.483976
0.956406,31,484.828522
0.9775,16,484.977698
0.964844,25,485.276548
0.970469,21,500.195499
0.947969,37,500.584784
0.973281,19,500.838059
0.960625,28,501.22202
0.960625,28,501.534832
0.947969,37,501.997548
0.945156,39,502.582937
0.976094,17,502.774451
0.953594,33,503.116451
0.947969,37,503.543345
0.946562,38,504.002151
0.974688,18,504.257644
0.963437,26,504.515623
0.973281,19,504.726851
0.955,32,505.048241
0.959219,29,505.366408
0.964844,25,505.655603
0.957812,30,506.017313
0.983125,12,506.14725
0.933906,47,518.851024
0.981719,13,518.965008
0.9775,16,519.126419
0.945156,39,519.499254
0.957812,30,519.843068
0.963437,26,520.073325
0.959219,29,520.315307
0.981719,13,520.420203
0.973281,19,520.580563
0.949375,36,520.881185
0.981719,13,520.986498
0.9775,16,521.115914
0.957812,30,521.355319
0.942344,41,521.693703
0.956406,31,521.955873
0.974688,18,522.106691
0.959219,29,522.356133
0.973281,19,522.515474
0.974688,18,522.655676
0.974688,18,522.802635
0.964844,25,536.149362
0.96625,24,536.414373
0.938125,44,536.862038
0.970469,21,537.116189
0.953594,33,537.493742
0.963437,26,537.776698
0.964844,25,538.0234
0.963437,26,538.386184
0.963437,26,538.686309
0.955,32,539.068914
0.973281,19,539.330147
0.974688,18,539.54072
0.96625,24,539.773245
0.947969,37,540.225042
0.980313,14,540.355612
0.964844,25,540.629522
0.973281,19,540.837596
0.971875,20,541.048282
0.962031,27,541.340485
0.963437,26,541.580663
0.974688,18,541.820133
0.9775,16,555.383459
0.952187,34,555.694742
0.96625,24,555.965537
0.969063,22,556.191645
0.9775,16,556.39733
0.96625,24,556.663162
0.969063,22,556.908311
0.976094,17,557.088449
0.96625,24,557.346263
0.938125,44,557.825448
0.952187,34,558.119462
0.983125,12,558.219878
0.967656,23,558.434312
0.971875,20,558.631916
0.957812,30,558.930486
0.959219,29,559.203752
0.967656,23,559.418542
0.973281,19,559.621341
0.971875,20,559.842583
0.956406,31,560.199574
0.969063,22,560.4211
0.967656,23,578.513177
0.978906,15,578.707768
0.940937,42,579.263776
0.928281,51,579.932744
0.971875,20,580.181929
0.938125,44,580.906904
0.964844,25,581.291167
0.971875,20,581.550377
0.983125,12,581.674685
0.980313,14,582.095353
0.973281,19,582.405215
0.931094,49,582.981549
0.983125,12,583.172258
0.9775,16,583.423206
0.9775,16,583.64418
0.974688,18,583.905804
0.969063,22,584.178643
0.967656,23,584.451269
0.983125,12,584.598958
0.962031,27,584.976208
0.970469,21,585.2354
0.971875,20,601.415596
0.959219,29,602.019931
0.971875,20,602.255206
0.963437,26,602.609828
0.967656,23,602.872731
0.956406,31,603.187184
0.962031,27,603.462579
0.973281,19,603.621242
0.970469,21,603.876908
0.96625,24,604.156083
0.969063,22,604.418167
0.984531,11,604.523752
0.967656,23,604.820733
0.9775,16,605.030792
0.953594,33,605.46356
0.9775,16,605.598555
0.976094,17,605.782325
0.973281,19,605.976392
0.967656,23,606.260166
0.971875,20,606.440853
0.971875,20,606.72898
0.963437,26,607.047021
0.971875,20,607.279434
0.971875,20,607.510183
0.978906,15,622.373835
0.969063,22,622.680779
0.971875,20,622.920089
0.963437,26,623.28605
0.967656,23,623.605978
0.96625,24,624.023534
0.956406,31,624.452416
0.953594,33,624.897234
0.974688,18,625.214135
0.9775,16,625.463001
0.974688,18,625.734098
0.974688,18,625.961248
0.960625,28,626.317207
0.974688,18,626.576768
0.956406,31,626.952979
0.9775,16,627.191164
0.969063,22,627.486528
0.96625,24,627.801561
0.976094,17,628.067369
0.959219,29,628.4636
0.976094,17,628.718428
