#{"t_start": 1746566952.023983, "env_id": "MiniGrid-DoorKey-8x8-v0"}
r,l,t
0,640,20.644663
0,640,42.560808
0,640,72.421743
0,640,97.930599
0,640,138.206705
0.49375,360,142.682471
0.547187,322,160.72365
0.395312,430,180.219272
0,640,203.020025
0.675156,231,217.561893
0.801719,141,219.441614
0.92125,56,220.343152
0.745469,181,222.910856
0.481094,369,241.790748
0.751094,177,243.809582
0.879062,86,257.835249
0.468438,378,262.858043
0.925469,53,263.489897
0.791875,148,277.601705
0.46,384,283.109526
0.925469,53,297.061815
0.957812,30,297.529313
0.949375,36,298.019675
0.53875,328,302.375995
0.894531,75,303.311544
0.938125,44,318.525446
0.9775,16,318.699284
0.940937,42,319.181144
0.908594,65,319.759599
0.855156,103,320.75849
0.973281,19,320.929605
0.946562,38,321.273046
0.938125,44,321.701148
0.931094,49,322.186409
0.929688,50,322.717257
0.969063,22,322.9225
0.947969,37,337.761432
0.938125,44,338.497567
0.933906,47,339.176888
0.92125,56,339.922512
0.942344,41,340.465642
0.946562,38,341.027603
0.953594,33,341.502269
0.981719,13,341.761676
0.938125,44,342.433578
0.964844,25,342.726163
0.744063,182,358.349699
0.939531,43,358.843072
0.928281,51,359.361344
0.970469,21,359.548931
0.931094,49,360.104962
0.938125,44,360.62431
0.835469,117,361.966669
0.967656,23,362.215795
0.959219,29,362.50296
0.96625,24,362.769968
0.945156,39,363.268047
0.957812,30,363.616842
0.969063,22,376.683522
0.928281,51,377.25393
0.970469,21,377.504717
0.950781,35,377.909328
0.936719,45,378.43565
0.971875,20,378.681193
0.959219,29,378.967957
0.957812,30,379.365335
0.935312,46,379.877478
0.935312,46,380.362188
0.960625,28,380.663102
0.963437,26,380.975968
0.947969,37,381.384141
0.956406,31,381.729473
0.919844,57,382.423095
0.956406,31,396.559692
0.947969,37,396.927407
0.960625,28,397.169014
0.945156,39,397.518463
0.942344,41,398.092782
0.952187,34,398.500099
0.945156,39,398.965166
0.964844,25,399.255613
0.935312,46,399.79946
0.960625,28,400.230485
0.926875,52,400.83203
0.936719,45,401.246193
0.949375,36,401.592342
0.959219,29,401.861443
0.94375,40,419.215354
0.891719,77,420.339102
0.883281,83,421.416367
0.940937,42,422.052484
0.946562,38,422.75609
0.956406,31,423.252429
0.917031,59,424.134987
0.947969,37,424.605385
0.973281,19,424.85627
0.962031,27,425.255554
0.974688,18,425.526653
0.933906,47,426.164078
0.959219,29,441.599478
0.957812,30,441.925243
0.960625,28,442.207672
0.976094,17,442.374435
0.973281,19,442.555315
0.935312,46,443.026401
0.980313,14,443.162956
0.964844,25,443.433033
0.96625,24,443.676556
0.925469,53,444.222034
0.959219,29,444.548836
0.955,32,444.897812
0.947969,37,445.285011
0.970469,21,445.536117
0.967656,23,445.807238
0.959219,29,446.161981
0.962031,27,446.476551
0.959219,29,446.815905
0.94375,40,461.722231
0.963437,26,461.985539
0.964844,25,462.218037
0.957812,30,462.537378
0.960625,28,462.800841
0.962031,27,463.03677
0.884687,82,463.728846
0.938125,44,464.092956
0.877656,87,464.880606
0.976094,17,465.026782
0.964844,25,465.235483
0.970469,21,465.437759
0.96625,24,465.641125
0.950781,35,465.954159
0.963437,26,480.046424
0.964844,25,480.309994
0.950781,35,480.666437
0.970469,21,480.91128
0.973281,19,481.085088
0.950781,35,481.4138
0.971875,20,481.639786
0.974688,18,481.853431
0.96625,24,482.107266
0.952187,34,482.501563
0.973281,19,482.775989
0.900156,71,483.601371
0.960625,28,483.910406
0.936719,45,484.421944
0.926875,52,484.961055
0.914219,61,500.3398
0.953594,33,500.727037
0.945156,39,501.239796
0.953594,33,501.618137
0.96625,24,501.92913
0.971875,20,502.165977
0.953594,33,502.669947
0.967656,23,502.900456
0.96625,24,503.183629
0.967656,23,503.424145
0.970469,21,503.658695
0.946562,38,504.198173
0.967656,23,504.433358
0.959219,29,504.742743
0.9325,48,505.233028
0.96625,24,505.486888
0.953594,33,505.887839
0.963437,26,518.458415
0.957812,30,518.726536
0.939531,43,519.124421
0.960625,28,519.383192
0.963437,26,519.685535
0.964844,25,519.938805
0.969063,22,520.12317
0.955,32,520.385931
0.950781,35,520.679155
0.96625,24,520.880435
0.980313,14,520.990241
0.950781,35,521.270514
0.904375,68,521.838278
0.969063,22,522.020603
0.9775,16,522.154588
0.956406,31,522.422102
0.960625,28,522.647008
0.967656,23,522.83127
0.971875,20,536.149755
0.946562,38,536.529577
0.967656,23,536.788092
0.952187,34,537.209207
0.963437,26,537.48439
0.955,32,537.829998
0.976094,17,538.004927
0.950781,35,538.471974
0.973281,19,538.68012
0.953594,33,539.089462
0.971875,20,539.354797
0.956406,31,539.678031
0.974688,18,539.898027
0.9775,16,540.068944
0.9775,16,540.246801
0.950781,35,540.6176
0.964844,25,540.909099
0.960625,28,541.191075
0.956406,31,541.479348
0.959219,29,555.221417
0.971875,20,555.435879
0.970469,21,555.619147
0.945156,39,556.040033
0.978906,15,556.216455
0.94375,40,556.675926
0.953594,33,557.035423
0.960625,28,557.338849
0.974688,18,557.545516
0.957812,30,557.840967
0.971875,20,558.015725
0.964844,25,558.227665
0.978906,15,558.374425
0.967656,23,558.596714
0.957812,30,558.895271
0.9775,16,559.045269
0.983125,12,559.16029
0.950781,35,559.515359
0.9775,16,559.660037
0.963437,26,559.981721
0.978906,15,560.14772
0.974688,18,560.314973
0.976094,17,578.310732
0.973281,19,578.573585
0.970469,21,578.860423
0.959219,29,579.241193
0.959219,29,579.66179
0.96625,24,579.92033
0.967656,23,580.260284
0.969063,22,580.584494
0.955,32,581.11389
0.971875,20,581.3754
0.962031,27,581.728922
0.955,32,582.42267
0.973281,19,582.61641
0.959219,29,583.002913
0.964844,25,583.391177
0.953594,33,583.862622
0.94375,40,584.338498
0.970469,21,584.602916
0.971875,20,584.900865
0.955,32,585.274856
0.967656,23,601.733192
0.976094,17,601.964543
0.980313,14,602.13885
0.960625,28,602.504343
0.935312,46,603.004997
0.969063,22,603.238231
0.950781,35,603.562031
0.983125,12,603.692657
0.96625,24,603.959526
0.973281,19,604.213324
0.959219,29,604.526468
0.956406,31,604.940073
0.962031,27,605.315141
0.9775,16,605.475348
0.962031,27,605.738775
