#{"t_start": 1746566951.9012322, "env_id": "MiniGrid-DoorKey-8x8-v0"}
r,l,t
0,640,20.767077
0,640,42.683331
0,640,72.544219
0,640,98.053186
0,640,138.329005
0,640,160.28229
0.361563,454,180.093798
0.677969,229,183.635907
0.475469,373,202.42061
0.690625,220,205.240379
0.890313,78,217.844459
0,640,240.70571
0.732812,190,243.006188
0.609063,278,259.414896
0.83125,120,261.038887
0.890313,78,261.977798
0.962031,27,262.364549
0.957812,30,262.761909
0.836875,116,276.441065
0.942344,41,277.003037
0.960625,28,277.330392
0.918438,58,278.141077
0.862187,98,279.372397
0.856563,102,280.687673
0.528906,335,298.977508
0.978906,15,299.158901
0.929688,50,299.784057
0.80875,136,301.544124
0.935312,46,302.204939
0.91,64,302.994543
0.85375,104,318.966
0.957812,30,319.303574
0.942344,41,319.671344
0.950781,35,319.992279
0.956406,31,320.279041
0.91,64,320.915556
0.933906,47,321.334082
0.939531,43,321.745705
0.963437,26,321.997024
0.914219,61,322.630213
0.873437,90,338.105747
0.955,32,338.595364
0.970469,21,338.909504
0.912813,62,339.755478
0.964844,25,340.119424
0.962031,27,340.472735
0.9775,16,340.66269
0.914219,61,341.576827
0.971875,20,341.923525
0.957812,30,342.393323
0.956406,31,342.787876
0.957812,30,343.151726
0.935312,46,343.742772
0.904375,68,344.593828
0.928281,51,358.611783
0.945156,39,358.998096
0.945156,39,359.415102
0.9775,16,359.559656
0.863594,97,360.651992
0.963437,26,360.935402
0.964844,25,361.23244
0.894531,75,362.089152
0.964844,25,362.358883
0.967656,23,362.581974
0.94375,40,363.064601
0.960625,28,363.41068
0.967656,23,363.687146
0.926875,52,377.091476
0.967656,23,377.319284
0.973281,19,377.547382
0.955,32,377.938472
0.955,32,378.336122
0.947969,37,378.744917
0.964844,25,379.005385
0.940937,42,379.514136
0.950781,35,379.915645
0.946562,38,380.313703
0.969063,22,380.558291
0.962031,27,380.885897
0.970469,21,381.098433
0.959219,29,381.398679
0.973281,19,381.635418
0.970469,21,381.86021
0.940937,42,382.388511
0.950781,35,396.604471
0.963437,26,396.812021
0.950781,35,397.17374
0.935312,46,397.573068
0.938125,44,398.176702
0.94375,40,398.641484
0.959219,29,398.995939
0.955,32,399.366993
0.963437,26,399.657146
0.974688,18,399.879477
0.963437,26,400.272132
0.912813,62,401.000093
0.938125,44,401.409887
0.924063,54,401.914847
0.957812,30,419.083969
0.915625,60,419.957545
0.96625,24,420.293159
0.967656,23,420.663069
0.919844,57,421.388925
0.949375,36,421.891791
0.969063,22,422.210682
0.96625,24,422.635499
0.91,64,423.705293
0.952187,34,424.206408
0.959219,29,424.614406
0.946562,38,425.082833
0.938125,44,425.746985
0.967656,23,426.062911
0.936719,45,441.712959
0.940937,42,442.164552
0.953594,33,442.482505
0.959219,29,442.756739
0.950781,35,443.130315
0.956406,31,443.449457
0.911406,63,444.098349
0.938125,44,444.57226
0.957812,30,444.908028
0.926875,52,445.452422
0.939531,43,445.955158
0.973281,19,446.202508
0.933906,47,446.766354
0.94375,40,461.710315
0.942344,41,462.098041
0.969063,22,462.3012
0.974688,18,462.484216
0.924063,54,463.01315
0.946562,38,463.337093
0.960625,28,463.568011
0.956406,31,463.835367
0.973281,19,463.991035
0.942344,41,464.352331
0.905781,67,464.950642
0.963437,26,465.178414
0.949375,36,465.493479
0.981719,13,465.610395
0.953594,33,465.897589
0.952187,34,480.029431
0.938125,44,480.505555
0.967656,23,480.744024
0.962031,27,481.042575
0.963437,26,481.295461
0.929688,50,481.790373
0.963437,26,482.089813
0.964844,25,482.373422
0.957812,30,482.712123
0.967656,23,483.043778
0.960625,28,483.392474
0.952187,34,483.758881
0.974688,18,483.96598
0.96625,24,484.221676
0.96625,24,484.507117
0.962031,27,484.787689
0.946562,38,485.201249
0.952187,34,500.274517
0.967656,23,500.518646
0.969063,22,500.778602
0.939531,43,501.343668
0.96625,24,501.613789
0.939531,43,502.138462
0.976094,17,502.386881
0.940937,42,502.947449
0.962031,27,503.233844
0.942344,41,503.690957
0.957812,30,504.058776
0.967656,23,504.39948
0.964844,25,504.61847
0.976094,17,504.814076
0.973281,19,504.990675
0.969063,22,505.242524
0.957812,30,505.562268
0.933906,47,506.122789
0.964844,25,518.655832
0.964844,25,518.875711
0.974688,18,519.033735
0.983125,12,519.154829
0.978906,15,519.292613
0.950781,35,519.665484
0.950781,35,520.028735
0.964844,25,520.237755
0.949375,36,520.533921
0.969063,22,520.716043
0.964844,25,520.927024
0.956406,31,521.179225
0.929688,50,521.582067
0.967656,23,521.772732
0.973281,19,521.936634
0.9325,48,522.339457
0.9775,16,522.476606
0.976094,17,522.618873
0.952187,34,522.88988
0.976094,17,536.134669
0.964844,25,536.42812
0.960625,28,536.690667
0.973281,19,536.910688
0.9775,16,537.088923
0.967656,23,537.37626
0.976094,17,537.552411
0.9775,16,537.725199
0.962031,27,538.023459
0.962031,27,538.358272
0.929688,50,538.973892
0.969063,22,539.243012
0.960625,28,539.585139
0.956406,31,539.926365
0.962031,27,540.244091
0.963437,26,540.518248
0.969063,22,540.740181
0.973281,19,540.958946
0.970469,21,541.159059
0.950781,35,541.517536
0.976094,17,541.683759
0.957812,30,555.452462
0.959219,29,555.716877
0.960625,28,556.026758
0.936719,45,556.524809
0.91,64,557.233471
0.963437,26,557.514219
0.976094,17,557.70144
0.970469,21,557.925776
0.984531,11,558.022701
0.946562,38,558.342281
0.963437,26,558.603008
0.952187,34,558.943116
0.969063,22,559.141322
0.96625,24,559.362673
0.976094,17,559.534763
0.963437,26,559.795911
0.959219,29,560.153498
0.96625,24,560.385696
0.956406,31,578.563379
0.963437,26,578.925453
0.957812,30,579.302146
0.974688,18,579.55383
0.96625,24,579.879894
0.940937,42,580.455213
0.969063,22,580.763552
0.974688,18,581.076773
0.973281,19,581.370173
0.960625,28,581.722076
0.984531,11,581.861011
0.983125,12,582.265961
0.983125,12,582.45319
0.953594,33,582.837715
0.962031,27,583.215023
0.969063,22,583.540028
0.971875,20,583.821947
0.970469,21,584.117904
0.9775,16,584.300785
0.955,32,584.686363
0.973281,19,584.959222
0.963437,26,585.282483
0.967656,23,601.510879
0.974688,18,601.983572
0.964844,25,602.279659
0.974688,18,602.505466
0.973281,19,602.750076
0.963437,26,603.045113
0.922656,55,603.594813
0.974688,18,603.771063
0.967656,23,604.025221
0.969063,22,604.298845
0.973281,19,604.519577
0.973281,19,604.719068
0.964844,25,605.062613
0.967656,23,605.392769
0.960625,28,605.661437
0.959219,29,605.966033
0.971875,20,606.212797
0.96625,24,606.458049
0.956406,31,606.849611
0.963437,26,607.15091
0.962031,27,607.47278
0.976094,17,622.347475
0.957812,30,622.759669
0.978906,15,622.941202
0.978906,15,623.116167
0.967656,23,623.446781
0.9775,16,623.684901
0.962031,27,624.14975
0.974688,18,624.388805
0.970469,21,624.649555
0.9775,16,624.871191
0.970469,21,625.248392
0.980313,14,625.446621
0.935312,46,626.096729
0.980313,14,626.307269
0.96625,24,626.607958
0.963437,26,626.958078
0.976094,17,627.156481
0.962031,27,627.543091
0.9775,16,627.760158
0.969063,22,628.08003
