#{"t_start": 1746566952.020581, "env_id": "MiniGrid-DoorKey-8x8-v0"}
r,l,t
0,640,20.647842
0,640,42.563885
0,640,72.424931
0,640,97.934019
0,640,138.209887
0.6625,240,141.013488
0,640,163.399939
0.371406,447,183.568663
0,640,217.380751
0.849531,107,218.768441
0.919844,57,219.540458
0,640,242.259015
0.9325,48,242.833795
0.611875,276,259.208057
0.751094,177,261.504632
0.969063,22,261.77337
0.767969,165,276.161636
0.929688,50,276.82523
0.94375,40,277.298722
0.848125,108,278.727956
0.924063,54,279.429576
0.953594,33,279.85691
0.929688,50,280.504064
0.970469,21,280.765779
0.957812,30,281.299349
0.722969,197,297.570047
0.935312,46,298.232779
0.969063,22,298.525439
0.745469,181,300.842878
0.850938,106,302.312575
0.931094,49,302.875236
0.91,64,318.383758
0.964844,25,318.672258
0.957812,30,319.036866
0.946562,38,319.384353
0.904375,68,320.019854
0.940937,42,320.396559
0.924063,54,320.932752
0.933906,47,321.36328
0.935312,46,321.807532
0.841094,113,322.964591
0.953594,33,337.753502
0.963437,26,338.192446
0.967656,23,338.573388
0.974688,18,338.822764
0.950781,35,339.313722
0.891719,77,340.353439
0.947969,37,340.837626
0.922656,55,341.704903
0.939531,43,342.386406
0.918438,58,343.115252
0.939531,43,343.639865
0.963437,26,343.980324
0.967656,23,344.267015
0.964844,25,344.589806
0.970469,21,358.203922
0.962031,27,358.55449
0.9325,48,359.003408
0.956406,31,359.346001
0.940937,42,359.73981
0.974688,18,359.963609
0.907188,66,360.731213
0.865,96,361.860661
0.960625,28,362.164565
0.96625,24,362.406936
0.956406,31,362.699665
0.940937,42,363.262721
0.9775,16,363.441206
0.942344,41,376.739049
0.964844,25,377.032364
0.960625,28,377.307253
0.94375,40,377.808122
0.957812,30,378.188996
0.952187,34,378.553768
0.929688,50,379.105345
0.952187,34,379.508092
0.928281,51,380.072782
0.964844,25,380.34432
0.970469,21,380.553906
0.89875,72,381.38737
0.974688,18,381.589267
0.895938,74,382.467785
0.947969,37,396.644861
0.974688,18,396.798015
0.956406,31,397.122476
0.964844,25,397.32843
0.952187,34,397.729075
0.969063,22,398.046562
0.931094,49,398.602725
0.928281,51,399.22502
0.914219,61,399.969365
0.873437,90,401.033683
0.970469,21,401.225944
0.8875,80,418.787716
0.922656,55,419.631206
0.945156,39,420.173932
0.931094,49,420.88945
0.952187,34,421.303081
0.933906,47,421.952444
0.915625,60,423.050935
0.96625,24,423.404454
0.915625,60,424.297652
0.947969,37,424.771099
0.9325,48,425.480019
0.952187,34,425.934359
0.900156,71,441.874523
0.959219,29,442.169437
0.925469,53,442.684499
0.955,32,443.011042
0.967656,23,443.233228
0.931094,49,443.766537
0.973281,19,443.952526
0.967656,23,444.186858
0.960625,28,444.496809
0.956406,31,444.850387
0.947969,37,445.234489
0.850938,106,446.47989
0.949375,36,461.409326
0.976094,17,461.59107
0.956406,31,461.876054
0.953594,33,462.191594
0.963437,26,462.458424
0.96625,24,462.706837
0.953594,33,462.998864
0.9775,16,463.13155
0.957812,30,463.382379
0.947969,37,463.698512
0.949375,36,463.996434
0.828437,122,465.083694
0.957812,30,465.344998
0.967656,23,465.551607
0.950781,35,465.856836
0.946562,38,480.058052
0.952187,34,480.420267
0.96625,24,480.66033
0.950781,35,481.033075
0.970469,21,481.23701
0.953594,33,481.563953
0.971875,20,481.81253
0.962031,27,482.086621
0.971875,20,482.319168
0.960625,28,482.638664
0.949375,36,483.136585
0.952187,34,483.501899
0.955,32,483.874323
0.959219,29,484.215408
0.952187,34,484.567067
0.933906,47,485.081987
0.953594,33,500.135387
0.957812,30,500.463227
0.956406,31,500.850543
0.947969,37,501.330586
0.976094,17,501.514939
0.973281,19,501.734872
0.964844,25,502.053598
0.974688,18,502.328507
0.94375,40,502.84773
0.938125,44,503.32034
0.952187,34,503.688798
